Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2016-06-01,2016,6,70,18071
2016-07-01,2016,7,32,20000
2016-08-01,2016,8,27,20417
2016-11-01,2016,11,504,17960
2016-12-01,2016,12,960,13083
2017-01-01,2017,1,623,11050
2017-06-01,2017,6,30,26025
2017-07-01,2017,7,2,25250
2017-08-01,2017,8,14,26200
2017-11-01,2017,11,733,16559
2017-12-01,2017,12,939,10418
2018-01-01,2018,1,640,13608
2019-01-01,2019,1,7295,19768
2019-06-01,2019,6,86,29223
2019-07-01,2019,7,151,22810
2019-08-01,2019,8,101,23728
2019-11-01,2019,11,57,19083
2019-12-01,2019,12,331,16301
