Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-06-01,2009,6,3,8000
2009-07-01,2009,7,6,11500
2009-11-01,2009,11,53,9000
2009-12-01,2009,12,112,9062
2010-01-01,2010,1,46,9020
2010-06-01,2010,6,58,9500
2010-08-01,2010,8,23,9000
2010-11-01,2010,11,7,10000
2010-12-01,2010,12,38,9250
2011-01-01,2011,1,62,9500
2011-08-01,2011,8,1,10000
2011-11-01,2011,11,51,10650
2011-12-01,2011,12,41,10040
2012-01-01,2012,1,44,10200
2012-11-01,2012,11,50,13000
2012-12-01,2012,12,25,13000
2013-01-01,2013,1,14,13000
2013-06-01,2013,6,16,13600
2013-07-01,2013,7,42,13600
2013-08-01,2013,8,26,14050
2014-01-01,2014,1,68,13500
2014-06-01,2014,6,2,20000
2014-07-01,2014,7,26,22500
2014-08-01,2014,8,4,25000
2014-11-01,2014,11,37,25000
2015-01-01,2015,1,377,26300
2015-06-01,2015,6,32,30333
2015-07-01,2015,7,35,30000
2015-08-01,2015,8,11,30000
2015-11-01,2015,11,98,35500
2015-12-01,2015,12,115,34818
2016-01-01,2016,1,42,33000
2016-06-01,2016,6,22,31000
2016-07-01,2016,7,16,31000
2016-08-01,2016,8,43,31000
2016-11-01,2016,11,56,31000
2016-12-01,2016,12,121,31000
2017-01-01,2017,1,105,31000
2017-06-01,2017,6,33,35000
2017-07-01,2017,7,42,35000
2017-08-01,2017,8,111,30600
2017-11-01,2017,11,42,35800
2017-12-01,2017,12,14,33000
2018-01-01,2018,1,39,32500
2018-06-01,2018,6,77,33500
2018-07-01,2018,7,14,33500
2018-11-01,2018,11,26,33500
2019-01-01,2019,1,11,36000
2019-06-01,2019,6,43,39000
2019-07-01,2019,7,22,43000
2019-11-01,2019,11,19,43000
2019-12-01,2019,12,56,43000
