Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,157,5573
2002-07-01,2002,7,142,5417
2002-08-01,2002,8,104,5672
2002-11-01,2002,11,198,5289
2002-12-01,2002,12,120,5517
2003-01-01,2003,1,140,5562
2003-06-01,2003,6,121,7888
2003-07-01,2003,7,50,7971
2003-08-01,2003,8,81,7950
2003-11-01,2003,11,56,7375
2003-12-01,2003,12,63,6512
2004-01-01,2004,1,10,7000
2004-06-01,2004,6,61,6738
2004-07-01,2004,7,92,6690
2004-08-01,2004,8,197,6605
2004-11-01,2004,11,187,7194
2004-12-01,2004,12,186,6525
2005-01-01,2005,1,180,6631
2005-06-01,2005,6,222,5993
2005-07-01,2005,7,214,6273
2005-08-01,2005,8,221,6365
2005-11-01,2005,11,104,7900
2005-12-01,2005,12,109,7399
2006-01-01,2006,1,218,6413
2008-08-01,2008,8,118,8420
2008-11-01,2008,11,79,8336
2008-12-01,2008,12,54,7675
2009-01-01,2009,1,77,8043
2009-07-01,2009,7,293,8550
2009-08-01,2009,8,25,8500
2009-11-01,2009,11,24,7900
2010-11-01,2010,11,170,8483
2010-12-01,2010,12,141,8960
2011-01-01,2011,1,285,8775
2011-06-01,2011,6,262,11327
2011-07-01,2011,7,77,11211
2011-08-01,2011,8,64,12371
2011-11-01,2011,11,52,16390
2011-12-01,2011,12,138,16200
2012-01-01,2012,1,50,15986
2012-06-01,2012,6,16,17538
2012-07-01,2012,7,138,17446
2012-08-01,2012,8,106,18569
2012-11-01,2012,11,87,18821
2012-12-01,2012,12,107,18035
2013-01-01,2013,1,84,18050
2013-06-01,2013,6,191,17575
2013-07-01,2013,7,100,17808
2013-08-01,2013,8,76,17822
2014-01-01,2014,1,56,8355
2014-06-01,2014,6,49,7408
2014-07-01,2014,7,42,9214
2014-08-01,2014,8,8,9325
2015-01-01,2015,1,323,22626
2015-06-01,2015,6,30,26065
2015-07-01,2015,7,26,26205
2015-08-01,2015,8,25,25287
2015-11-01,2015,11,24,27757
2015-12-01,2015,12,25,28112
2016-01-01,2016,1,18,28462
2016-06-01,2016,6,38,27500
2016-07-01,2016,7,54,28750
2016-08-01,2016,8,48,28584
2016-11-01,2016,11,46,25191
2016-12-01,2016,12,51,25720
2017-01-01,2017,1,49,26095
2017-06-01,2017,6,53,25333
2017-07-01,2017,7,67,25224
2017-08-01,2017,8,56,24230
2017-11-01,2017,11,56,24478
2017-12-01,2017,12,59,24235
2018-01-01,2018,1,73,24756
2018-06-01,2018,6,1454,18128
2018-07-01,2018,7,880,17792
2018-08-01,2018,8,771,17311
2018-11-01,2018,11,365,18661
2018-12-01,2018,12,594,20279
2019-01-01,2019,1,475,18421
2019-06-01,2019,6,307,18368
2019-07-01,2019,7,522,20421
2019-08-01,2019,8,500,24205
2019-11-01,2019,11,902,25656
2019-12-01,2019,12,370,25038
