Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,13,9150
2002-12-01,2002,12,284,8762
2003-01-01,2003,1,141,3500
2009-06-01,2009,6,264,7822
2009-07-01,2009,7,231,9003
2009-08-01,2009,8,13,8390
2009-11-01,2009,11,319,8955
2009-12-01,2009,12,467,9435
2010-01-01,2010,1,1107,11005
2010-06-01,2010,6,298,9651
2010-07-01,2010,7,510,11946
2010-08-01,2010,8,481,14347
2010-11-01,2010,11,508,13519
2010-12-01,2010,12,706,14791
2011-01-01,2011,1,402,14390
2011-06-01,2011,6,571,13000
2011-07-01,2011,7,353,12319
2011-08-01,2011,8,259,11395
2011-11-01,2011,11,830,10482
2011-12-01,2011,12,433,11542
2012-01-01,2012,1,522,8707
2012-06-01,2012,6,6,12239
2012-11-01,2012,11,277,14809
2013-08-01,2013,8,12,12899
2014-01-01,2014,1,631,13008
2014-06-01,2014,6,491,25515
2014-07-01,2014,7,276,45558
2014-08-01,2014,8,91,16165
2014-12-01,2014,12,113,24683
2015-01-01,2015,1,684,19298
2015-06-01,2015,6,18,33001
2015-07-01,2015,7,40,30918
2015-08-01,2015,8,46,25756
2015-11-01,2015,11,60,28736
2015-12-01,2015,12,160,27516
2016-01-01,2016,1,126,27973
2016-06-01,2016,6,110,21880
2016-07-01,2016,7,121,23609
2016-08-01,2016,8,178,24172
2016-11-01,2016,11,117,23745
2016-12-01,2016,12,269,19284
2017-01-01,2017,1,125,29600
2017-06-01,2017,6,29,32999
2017-07-01,2017,7,336,38279
2017-11-01,2017,11,80,33368
2017-12-01,2017,12,559,34870
2018-01-01,2018,1,438,34882
2018-06-01,2018,6,396,33364
2018-07-01,2018,7,241,28837
2018-08-01,2018,8,86,29409
2018-11-01,2018,11,196,28652
2018-12-01,2018,12,403,28151
2019-01-01,2019,1,552,28806
2019-06-01,2019,6,411,34947
2019-07-01,2019,7,288,34305
2019-08-01,2019,8,613,34017
2019-11-01,2019,11,391,29453
2019-12-01,2019,12,449,28070
