Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-11-01,2009,11,48,4628
2009-12-01,2009,12,31,3900
2010-01-01,2010,1,18,4100
2010-12-01,2010,12,15,6240
2011-01-01,2011,1,15,4020
2012-07-01,2012,7,16,7400
2013-06-01,2013,6,111,12818
2014-07-01,2014,7,23,10548
2014-08-01,2014,8,20,13636
2015-07-01,2015,7,11,12632
2015-11-01,2015,11,31,16325
2016-01-01,2016,1,4,16731
2016-06-01,2016,6,7,16398
2016-07-01,2016,7,11,15793
2016-08-01,2016,8,18,15488
2017-07-01,2017,7,32,19000
2018-06-01,2018,6,16,18000
2018-08-01,2018,8,35,16818
2018-11-01,2018,11,68,16500
2018-12-01,2018,12,75,21605
2019-01-01,2019,1,65,22300
2019-06-01,2019,6,42,18500
2019-07-01,2019,7,42,20000
2019-08-01,2019,8,45,24487
2019-11-01,2019,11,79,24410
2019-12-01,2019,12,130,21030
