Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,152,10524
2002-07-01,2002,7,98,14672
2002-11-01,2002,11,422,10032
2002-12-01,2002,12,237,10451
2003-01-01,2003,1,282,10927
2003-06-01,2003,6,41,10641
2003-07-01,2003,7,50,10755
2003-08-01,2003,8,56,10237
2003-11-01,2003,11,105,9696
2004-01-01,2004,1,165,9570
2004-06-01,2004,6,52,9399
2004-07-01,2004,7,158,9288
2004-08-01,2004,8,127,10246
2004-11-01,2004,11,457,9188
2004-12-01,2004,12,304,9160
2007-11-01,2007,11,325,10667
2007-12-01,2007,12,224,10110
2008-01-01,2008,1,221,10357
2008-06-01,2008,6,213,10558
2008-07-01,2008,7,200,10546
2008-08-01,2008,8,167,10351
2008-11-01,2008,11,307,9216
2008-12-01,2008,12,204,9132
2009-01-01,2009,1,309,9250
2009-06-01,2009,6,156,10438
2009-07-01,2009,7,205,13870
2009-08-01,2009,8,76,13031
2009-11-01,2009,11,250,11467
2009-12-01,2009,12,259,12459
2010-01-01,2010,1,325,14530
2010-06-01,2010,6,217,14662
2010-07-01,2010,7,172,14127
2010-08-01,2010,8,179,14770
2010-11-01,2010,11,60,14980
2010-12-01,2010,12,268,14576
2011-01-01,2011,1,288,14684
2011-06-01,2011,6,189,13502
2011-07-01,2011,7,176,13447
2011-08-01,2011,8,236,13304
2011-11-01,2011,11,246,13825
2011-12-01,2011,12,262,13211
2012-01-01,2012,1,335,13407
2012-06-01,2012,6,166,13029
2012-07-01,2012,7,168,13496
2012-08-01,2012,8,183,13834
2012-11-01,2012,11,240,14634
2012-12-01,2012,12,312,14107
2013-01-01,2013,1,172,13518
2013-06-01,2013,6,237,18243
2013-07-01,2013,7,180,17508
2013-08-01,2013,8,81,19114
2014-01-01,2014,1,204,20412
2014-06-01,2014,6,92,44859
2014-07-01,2014,7,135,61557
2014-08-01,2014,8,128,41208
2014-12-01,2014,12,177,28757
2015-01-01,2015,1,1235,34902
2015-06-01,2015,6,98,34517
2015-07-01,2015,7,161,32775
2015-08-01,2015,8,123,26028
2015-11-01,2015,11,223,29143
2015-12-01,2015,12,326,28161
2016-01-01,2016,1,204,28839
2016-06-01,2016,6,179,23615
2016-07-01,2016,7,117,25428
2016-08-01,2016,8,235,26115
2016-11-01,2016,11,377,27700
2016-12-01,2016,12,499,26186
2017-01-01,2017,1,404,26681
2017-06-01,2017,6,219,37779
2017-07-01,2017,7,23,45199
2017-08-01,2017,8,211,42270
2017-11-01,2017,11,228,35901
2017-12-01,2017,12,293,37085
2018-01-01,2018,1,227,37472
2018-06-01,2018,6,151,34448
2018-07-01,2018,7,54,30973
2018-08-01,2018,8,86,32134
2018-11-01,2018,11,167,33960
2018-12-01,2018,12,187,33879
2019-01-01,2019,1,130,33623
2019-06-01,2019,6,149,35881
2019-07-01,2019,7,93,35480
2019-08-01,2019,8,180,35572
2019-11-01,2019,11,279,33181
2019-12-01,2019,12,360,34522
