Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,337,9517
2002-06-01,2002,6,13,6098
2002-07-01,2002,7,6,12190
2002-11-01,2002,11,27,6152
2002-12-01,2002,12,53,8984
2003-01-01,2003,1,47,9135
2003-06-01,2003,6,42,5471
2003-07-01,2003,7,28,6565
2003-08-01,2003,8,20,4696
2003-11-01,2003,11,22,3690
2003-12-01,2003,12,27,4784
2004-01-01,2004,1,11,4243
2004-06-01,2004,6,11,5101
2004-07-01,2004,7,15,4798
2004-08-01,2004,8,2,3709
2004-11-01,2004,11,24,5341
2004-12-01,2004,12,18,5342
2005-01-01,2005,1,24,4490
2005-06-01,2005,6,6,5209
2005-08-01,2005,8,2,7500
2005-11-01,2005,11,4,7325
2005-12-01,2005,12,8,6179
2006-01-01,2006,1,20,5476
2006-06-01,2006,6,8,6960
2006-07-01,2006,7,3,5971
2006-08-01,2006,8,3,7966
2006-11-01,2006,11,19,7106
2006-12-01,2006,12,16,8066
2007-01-01,2007,1,14,10651
2007-06-01,2007,6,2,4878
2007-07-01,2007,7,12,6087
2007-08-01,2007,8,15,7907
2007-11-01,2007,11,25,6682
2007-12-01,2007,12,34,6789
2008-01-01,2008,1,12,6818
2008-06-01,2008,6,25,6480
2008-07-01,2008,7,20,6317
2008-08-01,2008,8,35,6600
2008-11-01,2008,11,30,6369
2008-12-01,2008,12,18,7200
2009-01-01,2009,1,82,6750
2009-06-01,2009,6,65,6757
2009-07-01,2009,7,53,7129
2009-08-01,2009,8,9,7112
2009-11-01,2009,11,18,6690
2009-12-01,2009,12,66,6500
2010-01-01,2010,1,146,8001
2010-06-01,2010,6,69,7761
2010-07-01,2010,7,58,8514
2010-08-01,2010,8,38,7825
2010-11-01,2010,11,8,9350
2010-12-01,2010,12,61,9581
2011-01-01,2011,1,23,9950
2011-06-01,2011,6,64,9500
2011-07-01,2011,7,26,9575
2011-08-01,2011,8,27,10088
2011-11-01,2011,11,57,12100
2011-12-01,2011,12,68,11408
2012-01-01,2012,1,41,11084
2012-06-01,2012,6,21,11105
2012-07-01,2012,7,82,11899
2012-08-01,2012,8,47,11175
2012-11-01,2012,11,64,12901
2012-12-01,2012,12,125,11694
2013-01-01,2013,1,69,11358
2013-06-01,2013,6,61,14612
2013-07-01,2013,7,5,16858
2013-08-01,2013,8,3,16750
2014-01-01,2014,1,58,18462
2014-06-01,2014,6,20,31450
2014-07-01,2014,7,2,27500
2014-08-01,2014,8,12,31125
2014-12-01,2014,12,19,27275
2015-01-01,2015,1,475,19750
2015-06-01,2015,6,20,23125
2015-07-01,2015,7,18,24667
2015-08-01,2015,8,47,24167
2015-11-01,2015,11,27,27250
2015-12-01,2015,12,77,23562
2016-01-01,2016,1,46,23500
2016-06-01,2016,6,22,22688
2016-07-01,2016,7,8,24750
2016-08-01,2016,8,25,21048
2016-11-01,2016,11,34,16375
2017-01-01,2017,1,34,15875
2017-06-01,2017,6,32,23562
2017-07-01,2017,7,28,24750
2017-08-01,2017,8,31,24750
2017-11-01,2017,11,19,21750
2017-12-01,2017,12,33,22700
2018-01-01,2018,1,17,29600
2018-06-01,2018,6,133,33909
2018-07-01,2018,7,51,29848
2018-08-01,2018,8,111,31760
2018-11-01,2018,11,52,31647
2018-12-01,2018,12,99,32491
2019-01-01,2019,1,74,30433
2019-06-01,2019,6,88,35083
2019-07-01,2019,7,59,32572
2019-08-01,2019,8,103,35014
2019-11-01,2019,11,53,33341
2019-12-01,2019,12,26,31679
