Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-11-01,2005,11,35,695
2005-12-01,2005,12,57,677
2006-01-01,2006,1,19,632
2006-12-01,2006,12,18,1000
2007-01-01,2007,1,1,1000
2008-11-01,2008,11,10,600
2011-01-01,2011,1,549,724
2011-07-01,2011,7,16,5500
2011-11-01,2011,11,65,962
2012-12-01,2012,12,244,900
2013-07-01,2013,7,7,900
2014-01-01,2014,1,917,1000
2014-07-01,2014,7,6,1667
2014-11-01,2014,11,438,1610
2015-01-01,2015,1,6923,2006
2015-11-01,2015,11,970,1674
2015-12-01,2015,12,1970,1800
2016-01-01,2016,1,816,1800
2016-11-01,2016,11,1765,1730
2016-12-01,2016,12,1550,1792
2017-01-01,2017,1,1167,1762
2017-06-01,2017,6,3,1500
2017-08-01,2017,8,4,2000
2017-11-01,2017,11,1330,2296
2017-12-01,2017,12,1208,2762
2018-01-01,2018,1,770,2800
2018-11-01,2018,11,982,3189
2018-12-01,2018,12,1941,3200
2019-01-01,2019,1,911,3200
2019-11-01,2019,11,817,2600
2019-12-01,2019,12,1444,2600
