Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,451,8272
2002-07-01,2002,7,437,9333
2002-08-01,2002,8,27,10500
2002-11-01,2002,11,219,7112
2002-12-01,2002,12,890,7465
2003-01-01,2003,1,268,7790
2003-06-01,2003,6,314,8725
2003-07-01,2003,7,404,7642
2003-08-01,2003,8,179,6920
2003-11-01,2003,11,81,3917
2003-12-01,2003,12,264,6025
2004-01-01,2004,1,732,5755
2004-06-01,2004,6,151,9383
2004-07-01,2004,7,222,7900
2004-08-01,2004,8,62,6125
2004-11-01,2004,11,183,8111
2004-12-01,2004,12,429,6855
2005-01-01,2005,1,2292,7738
2005-06-01,2005,6,582,8840
2005-07-01,2005,7,261,8830
2005-08-01,2005,8,191,8870
2005-11-01,2005,11,2,8800
2005-12-01,2005,12,470,9000
2006-01-01,2006,1,857,10900
2006-11-01,2006,11,114,13975
2006-12-01,2006,12,180,14575
2007-01-01,2007,1,271,14180
2007-06-01,2007,6,242,11120
2007-07-01,2007,7,106,9450
