Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-08-01,2011,8,37,14399
2011-11-01,2011,11,16,9939
2011-12-01,2011,12,133,14276
2012-01-01,2012,1,356,13997
2012-06-01,2012,6,15,13000
2012-07-01,2012,7,6,5667
2012-08-01,2012,8,5,13809
2012-11-01,2012,11,10,10899
2012-12-01,2012,12,56,10729
2013-01-01,2013,1,217,9689
2013-06-01,2013,6,30,12589
2013-07-01,2013,7,52,7092
2013-08-01,2013,8,14,21684
2014-01-01,2014,1,194,21509
2014-06-01,2014,6,51,46859
2014-07-01,2014,7,56,20552
2014-08-01,2014,8,33,38654
2014-12-01,2014,12,232,28456
2015-01-01,2015,1,6435,29678
2015-06-01,2015,6,224,35807
2015-07-01,2015,7,442,13526
2015-08-01,2015,8,456,20112
2015-11-01,2015,11,587,29742
2015-12-01,2015,12,281,23767
2016-01-01,2016,1,515,26266
2016-06-01,2016,6,408,16794
2016-07-01,2016,7,657,16841
2016-08-01,2016,8,762,26229
2016-11-01,2016,11,280,14972
2016-12-01,2016,12,677,17429
2017-01-01,2017,1,445,16557
2017-06-01,2017,6,326,20102
2017-07-01,2017,7,650,33012
2017-08-01,2017,8,536,32766
2017-11-01,2017,11,179,17077
2017-12-01,2017,12,304,15605
2018-01-01,2018,1,654,29083
2018-06-01,2018,6,1059,19407
2018-07-01,2018,7,236,19602
2018-08-01,2018,8,752,33227
2018-11-01,2018,11,528,26322
2018-12-01,2018,12,357,29628
2019-01-01,2019,1,488,23916
2019-06-01,2019,6,578,13936
2019-07-01,2019,7,308,28339
2019-08-01,2019,8,837,23841
2019-11-01,2019,11,478,21304
2019-12-01,2019,12,394,17176
