Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,8,667
2003-01-01,2003,1,2,500
2003-08-01,2003,8,2,500
2003-11-01,2003,11,5,505
2003-12-01,2003,12,2,725
2004-11-01,2004,11,2,600
2006-11-01,2006,11,61,1367
2006-12-01,2006,12,27,1444
2007-01-01,2007,1,1,1300
2007-11-01,2007,11,5,1275
2007-12-01,2007,12,7,1083
2008-11-01,2008,11,56,975
2008-12-01,2008,12,13,850
2009-11-01,2009,11,57,1000
2009-12-01,2009,12,15,1003
2010-01-01,2010,1,5,1233
2010-11-01,2010,11,2,1500
2010-12-01,2010,12,12,1500
2011-11-01,2011,11,92,1433
2011-12-01,2011,12,60,1383
2012-11-01,2012,11,27,1443
2012-12-01,2012,12,4,1500
2013-11-01,2013,11,21,2086
2014-11-01,2014,11,19,2725
2014-12-01,2014,12,41,3222
2015-01-01,2015,1,15,3500
2015-11-01,2015,11,10,3040
2015-12-01,2015,12,8,3180
2016-01-01,2016,1,2,3800
2017-11-01,2017,11,17,4000
2017-12-01,2017,12,3,4333
2019-01-01,2019,1,10,4200
2019-11-01,2019,11,10,3000
