Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,108,9261
2002-07-01,2002,7,62,14050
2002-08-01,2002,8,12,12000
2002-11-01,2002,11,20,9960
2003-06-01,2003,6,19,10000
2003-07-01,2003,7,17,10000
2003-08-01,2003,8,13,11000
2003-12-01,2003,12,16,9300
2004-01-01,2004,1,15,4900
2004-07-01,2004,7,19,8689
2004-08-01,2004,8,14,9662
2008-08-01,2008,8,22,5730
2009-06-01,2009,6,10,6315
2009-07-01,2009,7,17,6512
2009-08-01,2009,8,48,7543
2009-11-01,2009,11,229,8971
2009-12-01,2009,12,234,6426
2010-01-01,2010,1,260,8268
2010-06-01,2010,6,134,8653
2010-07-01,2010,7,160,8460
2010-08-01,2010,8,123,9386
2010-11-01,2010,11,244,7557
2010-12-01,2010,12,336,6524
2011-01-01,2011,1,589,6578
2011-06-01,2011,6,202,8134
2011-07-01,2011,7,177,6653
2011-08-01,2011,8,274,6936
2011-11-01,2011,11,447,8621
2011-12-01,2011,12,652,8910
2012-01-01,2012,1,384,8528
2012-06-01,2012,6,947,9842
2012-07-01,2012,7,77,8071
2012-08-01,2012,8,10,9200
2012-11-01,2012,11,28,9100
2012-12-01,2012,12,96,8500
2013-01-01,2013,1,28,12824
2013-06-01,2013,6,191,9242
2013-07-01,2013,7,61,8075
2013-08-01,2013,8,10,9300
2014-06-01,2014,6,72,10500
2014-07-01,2014,7,59,25850
2015-01-01,2015,1,161,9400
2015-06-01,2015,6,57,10000
2015-07-01,2015,7,196025,10350
2015-08-01,2015,8,30,12667
2015-11-01,2015,11,40,11392
2015-12-01,2015,12,9,5700
2016-01-01,2016,1,21,8600
2016-06-01,2016,6,8,15000
2016-07-01,2016,7,44,8476
2016-08-01,2016,8,51,9503
2016-11-01,2016,11,44,13975
2016-12-01,2016,12,35,17050
2017-01-01,2017,1,15,13500
2017-06-01,2017,6,30,28349
2017-07-01,2017,7,805,25399
2017-08-01,2017,8,280,21641
2017-11-01,2017,11,108,22429
2017-12-01,2017,12,114,23240
2018-01-01,2018,1,158,19458
2018-06-01,2018,6,2144,18234
2018-07-01,2018,7,490,18400
2018-08-01,2018,8,97,14583
2018-11-01,2018,11,535,20256
2018-12-01,2018,12,287,18599
2019-01-01,2019,1,559,18025
2019-06-01,2019,6,242,17043
2019-07-01,2019,7,122,15933
2019-08-01,2019,8,110,14300
2019-11-01,2019,11,1496,17424
2019-12-01,2019,12,2813,18104
