Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2006-06-01,2006,6,8,18200
2006-08-01,2006,8,3,18877
2006-12-01,2006,12,25,17752
2007-01-01,2007,1,33,18356
2007-06-01,2007,6,45,13705
2007-07-01,2007,7,1109,14166
2007-08-01,2007,8,4,10875
2007-11-01,2007,11,17,10900
2007-12-01,2007,12,42,10583
2008-01-01,2008,1,45,11000
2008-06-01,2008,6,75,10726
2008-07-01,2008,7,46,11081
2008-08-01,2008,8,4,11645
2008-11-01,2008,11,1258,9475
2008-12-01,2008,12,2072,8790
2009-01-01,2009,1,11247,9271
2009-06-01,2009,6,4746,9733
2009-07-01,2009,7,156,11700
2009-11-01,2009,11,26,11425
2009-12-01,2009,12,259,12436
2010-01-01,2010,1,387,14242
2010-06-01,2010,6,53,14345
2010-07-01,2010,7,48,13791
2010-08-01,2010,8,10,14550
2010-11-01,2010,11,29,15250
2010-12-01,2010,12,153,15019
2011-01-01,2011,1,210,14896
2011-06-01,2011,6,85,13250
2011-07-01,2011,7,78,12917
2011-08-01,2011,8,110,13431
2011-11-01,2011,11,155,14618
2011-12-01,2011,12,192,14734
2012-01-01,2012,1,288,13507
2012-06-01,2012,6,98,13534
2012-07-01,2012,7,62,13612
2012-08-01,2012,8,67,13846
2012-11-01,2012,11,108,11311
2012-12-01,2012,12,205,15229
2013-01-01,2013,1,255,11112
2013-07-01,2013,7,56,18000
2013-08-01,2013,8,16,21500
2014-01-01,2014,1,114,21500
2014-06-01,2014,6,124,45500
2014-08-01,2014,8,1,38000
2014-12-01,2014,12,13,28000
2015-01-01,2015,1,1912,38589
2015-06-01,2015,6,162,50800
2015-07-01,2015,7,108,49837
2015-08-01,2015,8,70,47167
2015-11-01,2015,11,179,42820
2015-12-01,2015,12,260,39866
2016-01-01,2016,1,1,8000
2016-06-01,2016,6,1,42000
2016-07-01,2016,7,8,30000
2016-08-01,2016,8,52,22500
2016-11-01,2016,11,133,23686
2016-12-01,2016,12,167,27610
2017-01-01,2017,1,285,26100
2017-06-01,2017,6,77,34538
2017-07-01,2017,7,58,26760
2017-08-01,2017,8,132,37865
2017-11-01,2017,11,77,37074
2017-12-01,2017,12,122,34550
2018-01-01,2018,1,168,33222
2018-06-01,2018,6,303,40976
2018-07-01,2018,7,151,46871
2018-08-01,2018,8,88,40786
2018-11-01,2018,11,120,40498
2019-01-01,2019,1,286,33692
2019-06-01,2019,6,237,36937
2019-07-01,2019,7,175,34825
2019-08-01,2019,8,74,35950
2019-11-01,2019,11,101,27461
