Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,341,4002
2002-07-01,2002,7,3895,3216
2002-08-01,2002,8,299,3465
2002-11-01,2002,11,441,6108
2002-12-01,2002,12,337,4560
2003-01-01,2003,1,448,4666
2003-06-01,2003,6,440,5092
2003-07-01,2003,7,253,5594
2003-08-01,2003,8,348,4405
2003-11-01,2003,11,266,5593
2003-12-01,2003,12,261,5167
2004-01-01,2004,1,358,5900
2004-06-01,2004,6,187,5220
2004-07-01,2004,7,152,5276
2004-08-01,2004,8,103,4911
2004-11-01,2004,11,315,6897
2004-12-01,2004,12,368,5745
2005-01-01,2005,1,360,5791
2005-06-01,2005,6,361,5087
2005-07-01,2005,7,271,5040
2005-08-01,2005,8,360,5384
2005-11-01,2005,11,190,7000
2005-12-01,2005,12,109,6582
2006-01-01,2006,1,343,6731
2006-06-01,2006,6,193,7334
2006-07-01,2006,7,259,7494
2006-08-01,2006,8,323,7808
2006-11-01,2006,11,189,8635
2006-12-01,2006,12,168,7274
2007-01-01,2007,1,299,7540
2007-06-01,2007,6,255,6029
2007-07-01,2007,7,242,6515
2007-08-01,2007,8,251,6212
2007-11-01,2007,11,345,7575
2007-12-01,2007,12,259,7716
2008-01-01,2008,1,295,7826
2008-06-01,2008,6,355,7378
2008-07-01,2008,7,240,7404
2008-08-01,2008,8,269,7971
2008-11-01,2008,11,256,7749
2008-12-01,2008,12,190,6635
2009-01-01,2009,1,345,8010
2009-06-01,2009,6,351,6853
2009-07-01,2009,7,159,7069
2009-08-01,2009,8,39,6949
2009-11-01,2009,11,331,7055
2009-12-01,2009,12,303,6715
2010-01-01,2010,1,518,7629
2010-06-01,2010,6,378,6060
2010-07-01,2010,7,257,6518
2010-08-01,2010,8,359,6667
2010-11-01,2010,11,26,10500
2010-12-01,2010,12,348,10058
2011-01-01,2011,1,203,9700
2011-06-01,2011,6,360,12833
2011-07-01,2011,7,362,13236
2011-08-01,2011,8,351,13608
2011-11-01,2011,11,375,15870
2011-12-01,2011,12,424,15102
2012-01-01,2012,1,640,16317
2012-06-01,2012,6,358,12877
2012-07-01,2012,7,417,14129
2012-08-01,2012,8,492,15274
2012-11-01,2012,11,369,15597
2012-12-01,2012,12,445,15943
2013-01-01,2013,1,519,16158
2013-06-01,2013,6,487,17299
2013-07-01,2013,7,411,16896
2013-08-01,2013,8,2567,12239
2014-01-01,2014,1,421,12985
2014-06-01,2014,6,362,18466
2014-07-01,2014,7,550,24651
2014-08-01,2014,8,213,21271
2015-01-01,2015,1,4110,24774
2015-06-01,2015,6,409,28319
2015-07-01,2015,7,327,25858
2015-08-01,2015,8,336,21683
2015-11-01,2015,11,362,24879
2015-12-01,2015,12,1725,25644
2016-01-01,2016,1,340,27229
2016-06-01,2016,6,278,26977
2016-07-01,2016,7,252,26479
2016-08-01,2016,8,315,25246
2016-11-01,2016,11,97,21563
2016-12-01,2016,12,373,20380
2017-01-01,2017,1,370,21623
2017-06-01,2017,6,319,22062
2017-07-01,2017,7,408,22047
2017-08-01,2017,8,411,22980
2017-11-01,2017,11,474,22750
2017-12-01,2017,12,383,23216
2018-01-01,2018,1,549,24419
2018-06-01,2018,6,550,23380
2018-07-01,2018,7,480,23942
2018-08-01,2018,8,657,24627
2018-11-01,2018,11,361,24407
2018-12-01,2018,12,493,25265
2019-01-01,2019,1,611,25195
2019-06-01,2019,6,341,23683
2019-07-01,2019,7,202,23756
2019-08-01,2019,8,358,24707
2019-11-01,2019,11,580,25728
2019-12-01,2019,12,547,27650
