Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,5,4750
2002-11-01,2002,11,13,4886
2002-12-01,2002,12,14,5141
2003-01-01,2003,1,30,5150
2003-06-01,2003,6,58,6694
2003-07-01,2003,7,35,6331
2003-08-01,2003,8,27,6347
2003-11-01,2003,11,28,5956
2003-12-01,2003,12,22,5882
2004-01-01,2004,1,51,6588
2004-06-01,2004,6,32,5357
2004-07-01,2004,7,14,5412
2004-08-01,2004,8,28,5412
2004-11-01,2004,11,18,5579
2004-12-01,2004,12,23,6392
2005-01-01,2005,1,42,6185
2005-06-01,2005,6,76,5204
2005-07-01,2005,7,9,5086
2005-08-01,2005,8,9,5575
2005-11-01,2005,11,21,7567
2005-12-01,2005,12,22,7309
2006-01-01,2006,1,20,7200
2006-06-01,2006,6,32,6742
2006-07-01,2006,7,15,6858
2006-08-01,2006,8,13,7664
2006-11-01,2006,11,22,7860
2006-12-01,2006,12,7,7420
2007-01-01,2007,1,4,7750
2007-06-01,2007,6,38,6705
2007-07-01,2007,7,16,6862
2007-08-01,2007,8,15,6992
2007-11-01,2007,11,7,8757
2007-12-01,2007,12,13,9180
2008-01-01,2008,1,21,9217
2008-06-01,2008,6,41,7496
2008-07-01,2008,7,22,7744
2008-08-01,2008,8,19,8409
2008-11-01,2008,11,7,7740
2008-12-01,2008,12,14,8167
2009-01-01,2009,1,16,8100
2009-06-01,2009,6,68,6725
2009-07-01,2009,7,29,6800
2009-08-01,2009,8,98,6715
2009-11-01,2009,11,39,7267
2009-12-01,2009,12,31,7411
2010-01-01,2010,1,36,8165
2010-06-01,2010,6,43,6578
2010-07-01,2010,7,9,6544
2010-08-01,2010,8,20,6859
2010-11-01,2010,11,20,8977
2010-12-01,2010,12,27,9936
2011-01-01,2011,1,25,9800
2011-06-01,2011,6,44,13664
2011-07-01,2011,7,19,14225
2011-08-01,2011,8,38,15842
2011-11-01,2011,11,29,17603
2011-12-01,2011,12,18,15930
2012-01-01,2012,1,7,17533
2012-06-01,2012,6,68,14913
2012-07-01,2012,7,72,16826
2012-08-01,2012,8,76,17195
2012-11-01,2012,11,29,18256
2012-12-01,2012,12,29,18007
2013-01-01,2013,1,41,17765
2013-06-01,2013,6,91,16344
2013-07-01,2013,7,87,15873
2013-08-01,2013,8,22,15100
2014-01-01,2014,1,40,12653
2014-06-01,2014,6,111,20863
2014-07-01,2014,7,115,25569
2014-08-01,2014,8,88,26086
2015-01-01,2015,1,477,26217
2015-06-01,2015,6,50,28940
2015-07-01,2015,7,59,29184
2015-08-01,2015,8,74,26522
2015-11-01,2015,11,39,26769
2015-12-01,2015,12,44,27676
2016-01-01,2016,1,46,27958
2016-06-01,2016,6,30,23316
2016-07-01,2016,7,38,24327
2016-08-01,2016,8,73,24962
2016-11-01,2016,11,93,23130
2016-12-01,2016,12,104,22569
2017-01-01,2017,1,118,24279
2017-06-01,2017,6,75,21418
2017-07-01,2017,7,4609,22302
2017-08-01,2017,8,247,24611
2017-11-01,2017,11,230,24590
2017-12-01,2017,12,116,24538
2018-01-01,2018,1,235,25026
2018-06-01,2018,6,411,22743
2018-07-01,2018,7,417,21917
2018-08-01,2018,8,209,22647
2018-11-01,2018,11,152,26697
2018-12-01,2018,12,166,26182
2019-01-01,2019,1,208,26767
2019-06-01,2019,6,148,23243
2019-07-01,2019,7,95,24224
2019-08-01,2019,8,149,25009
2019-11-01,2019,11,217,28010
2019-12-01,2019,12,119,29136
