Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2007-06-01,2007,6,277,6779
2007-07-01,2007,7,441,8570
2007-08-01,2007,8,749,8717
2007-11-01,2007,11,380,9176
2007-12-01,2007,12,378,9550
2008-01-01,2008,1,421,9656
2008-06-01,2008,6,1182,9980
2008-07-01,2008,7,998,10290
2008-08-01,2008,8,635,10706
2008-11-01,2008,11,1224,1100
2008-12-01,2008,12,628,1100
2009-01-01,2009,1,1151,1100
2009-06-01,2009,6,1669,1105
2009-07-01,2009,7,1645,1114
2009-08-01,2009,8,1421,1107
2009-11-01,2009,11,958,1103
2009-12-01,2009,12,1198,1105
2010-01-01,2010,1,1960,1111
2010-06-01,2010,6,2018,1112
2010-07-01,2010,7,2024,1444
2010-08-01,2010,8,1855,3809
2010-11-01,2010,11,1305,1109
2010-12-01,2010,12,1660,1112
2011-01-01,2011,1,1340,1570
2011-06-01,2011,6,1917,12099
2011-07-01,2011,7,1964,14334
2011-08-01,2011,8,836,14496
2011-11-01,2011,11,850,15581
2011-12-01,2011,12,1052,14380
2012-01-01,2012,1,672,14923
2012-06-01,2012,6,1044,14836
2012-07-01,2012,7,1297,15625
2012-08-01,2012,8,889,16120
2012-11-01,2012,11,904,14970
2012-12-01,2012,12,976,14364
2013-01-01,2013,1,811,14585
2013-06-01,2013,6,885,13052
2013-07-01,2013,7,1189,12291
2013-08-01,2013,8,216,12506
2014-01-01,2014,1,867,9915
2014-06-01,2014,6,781,10765
2014-07-01,2014,7,956,11709
2014-08-01,2014,8,732,13447
2015-01-01,2015,1,3203,22758
2015-06-01,2015,6,565,20918
2015-07-01,2015,7,427,23633
2015-08-01,2015,8,470,19220
2015-11-01,2015,11,407,18894
2015-12-01,2015,12,546,23671
2016-01-01,2016,1,666,26938
2016-06-01,2016,6,2418,22812
2016-07-01,2016,7,1560,20786
2016-08-01,2016,8,1551,16750
2016-11-01,2016,11,1989,14523
2016-12-01,2016,12,1474,13025
2017-01-01,2017,1,1554,12806
2017-06-01,2017,6,1933,15739
2017-07-01,2017,7,1533,15500
2017-08-01,2017,8,2540,14725
2017-11-01,2017,11,2285,15125
2017-12-01,2017,12,1865,14795
2018-01-01,2018,1,1958,14500
2018-06-01,2018,6,4808,13500
2018-07-01,2018,7,5683,13500
2018-08-01,2018,8,4732,13432
2018-11-01,2018,11,3680,23875
2018-12-01,2018,12,4717,21167
2019-01-01,2019,1,4049,17522
2019-06-01,2019,6,2534,15506
2019-07-01,2019,7,1571,13561
2019-08-01,2019,8,3170,13254
2019-11-01,2019,11,2237,13964
2019-12-01,2019,12,1943,12609
