Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,461,10187
2002-07-01,2002,7,601,13371
2002-11-01,2002,11,2540,9933
2002-12-01,2002,12,4030,9988
2003-01-01,2003,1,4514,10462
2003-06-01,2003,6,435,10599
2003-07-01,2003,7,390,10337
2003-08-01,2003,8,407,10364
2003-11-01,2003,11,2218,9266
2003-12-01,2003,12,2583,9471
2004-01-01,2004,1,4295,9342
2004-06-01,2004,6,348,9686
2004-07-01,2004,7,203,9525
2004-08-01,2004,8,225,10952
2004-11-01,2004,11,1332,9871
2004-12-01,2004,12,4826,9493
2005-01-01,2005,1,4051,9545
2005-06-01,2005,6,494,9537
2005-07-01,2005,7,268,9829
2005-08-01,2005,8,139,10033
2005-11-01,2005,11,574,10058
2005-12-01,2005,12,1628,10466
2006-01-01,2006,1,3080,10769
2006-06-01,2006,6,312,17718
2006-07-01,2006,7,149,17780
2006-08-01,2006,8,217,17619
2006-11-01,2006,11,1393,16353
2006-12-01,2006,12,2951,16376
2007-01-01,2007,1,2501,16190
2007-06-01,2007,6,726,11860
2007-07-01,2007,7,1766,12046
2007-08-01,2007,8,361,12005
2007-11-01,2007,11,1524,12751
2007-12-01,2007,12,1871,11818
2008-01-01,2008,1,3464,11422
2008-06-01,2008,6,1713,11255
2008-07-01,2008,7,1165,11024
2008-08-01,2008,8,1008,10815
2008-11-01,2008,11,2440,10273
2008-12-01,2008,12,2358,10156
2009-01-01,2009,1,3395,9638
2009-06-01,2009,6,2929,10174
2009-07-01,2009,7,2390,12622
2009-11-01,2009,11,1962,12599
2009-12-01,2009,12,3553,12941
2010-01-01,2010,1,5135,14546
2010-06-01,2010,6,1304,14644
2010-07-01,2010,7,1078,14674
2010-08-01,2010,8,1010,15065
2010-11-01,2010,11,2085,16182
2010-12-01,2010,12,5613,15575
2011-01-01,2011,1,5617,15472
2011-06-01,2011,6,2106,13612
2011-07-01,2011,7,2096,13578
2011-08-01,2011,8,1282,13437
2011-11-01,2011,11,4434,15062
2011-12-01,2011,12,5159,14366
2012-01-01,2012,1,6791,14480
2012-06-01,2012,6,1580,13761
2012-07-01,2012,7,1462,13965
2012-08-01,2012,8,729,14012
2012-11-01,2012,11,2517,16394
2012-12-01,2012,12,5235,16209
2013-01-01,2013,1,6110,15202
2013-06-01,2013,6,1792,17835
2013-07-01,2013,7,913,18694
2013-08-01,2013,8,224,20921
2014-01-01,2014,1,5590,23506
2014-06-01,2014,6,1076,44523
2014-07-01,2014,7,750,67171
2014-08-01,2014,8,475,50098
2014-12-01,2014,12,4290,28539
2015-01-01,2015,1,50494,35555
2015-06-01,2015,6,1530,40232
2015-07-01,2015,7,968,37584
2015-08-01,2015,8,806,33758
2015-11-01,2015,11,2700,32921
2015-12-01,2015,12,4152,31933
2016-01-01,2016,1,3975,31294
2016-06-01,2016,6,1458,24135
2016-07-01,2016,7,970,26603
2016-08-01,2016,8,1167,26117
2016-11-01,2016,11,2819,28526
2016-12-01,2016,12,5106,28825
2017-01-01,2017,1,5244,29621
2017-06-01,2017,6,995,37566
2017-07-01,2017,7,914,42041
2017-08-01,2017,8,760,41602
2017-11-01,2017,11,2043,37797
2017-12-01,2017,12,3836,39402
2018-01-01,2018,1,5892,40449
2018-06-01,2018,6,2182,38772
2018-07-01,2018,7,1239,37697
2018-08-01,2018,8,724,39614
2018-11-01,2018,11,2025,41069
2018-12-01,2018,12,3820,40741
2019-01-01,2019,1,6030,39987
2019-06-01,2019,6,1477,37894
2019-07-01,2019,7,507,36469
2019-08-01,2019,8,543,36490
2019-11-01,2019,11,4538,33677
2019-12-01,2019,12,7274,36078
