Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,17,7167
2002-07-01,2002,7,78,10000
2002-11-01,2002,11,59,6500
2002-12-01,2002,12,40,7125
2003-01-01,2003,1,19,8000
2003-06-01,2003,6,79,7875
2003-07-01,2003,7,118,7800
2003-08-01,2003,8,161,6700
2003-11-01,2003,11,50,6800
2003-12-01,2003,12,43,6400
2004-01-01,2004,1,75,6583
2004-06-01,2004,6,66,6700
2004-07-01,2004,7,56,6500
2004-08-01,2004,8,60,6550
2004-11-01,2004,11,136,8290
2004-12-01,2004,12,318,8039
2005-01-01,2005,1,210,6065
2005-06-01,2005,6,60,8364
2005-07-01,2005,7,88,8977
2005-08-01,2005,8,57,7844
2005-11-01,2005,11,38,8365
2005-12-01,2005,12,62,7785
2006-01-01,2006,1,153,8437
2006-06-01,2006,6,61,16090
2006-07-01,2006,7,18,14820
2006-08-01,2006,8,45,12659
2006-11-01,2006,11,161,12244
2006-12-01,2006,12,1382,11014
2007-01-01,2007,1,9,10709
2007-06-01,2007,6,79,10874
2007-07-01,2007,7,62,8770
2007-08-01,2007,8,44,9474
2007-11-01,2007,11,88,9069
2007-12-01,2007,12,166,8559
2008-01-01,2008,1,161,8446
2008-06-01,2008,6,123,8452
2008-07-01,2008,7,120,9436
2008-08-01,2008,8,116,9575
2008-11-01,2008,11,218,8369
2008-12-01,2008,12,105,8299
2009-01-01,2009,1,253,8038
2009-06-01,2009,6,97,8970
2009-07-01,2009,7,52,10399
2009-08-01,2009,8,181,9419
2009-11-01,2009,11,226,9293
2009-12-01,2009,12,188,9689
2010-01-01,2010,1,347,11255
2010-06-01,2010,6,93,13378
2010-07-01,2010,7,45,13024
2010-08-01,2010,8,128,10799
2010-11-01,2010,11,3,7882
2010-12-01,2010,12,252,11490
2011-01-01,2011,1,131,9986
2011-06-01,2011,6,63,10987
2011-07-01,2011,7,70,11088
2011-08-01,2011,8,71,10794
2011-11-01,2011,11,376,10492
2011-12-01,2011,12,400,11281
2012-01-01,2012,1,212,10407
2012-06-01,2012,6,47,11758
2012-07-01,2012,7,62,11638
2012-08-01,2012,8,63,11953
2012-11-01,2012,11,383,11943
2012-12-01,2012,12,385,11036
2013-01-01,2013,1,162,10859
2013-06-01,2013,6,189,14581
2013-07-01,2013,7,42,12169
2013-08-01,2013,8,13,14138
2014-01-01,2014,1,97,15983
2014-07-01,2014,7,26,34652
2014-08-01,2014,8,40,36559
2014-12-01,2014,12,14,27375
2015-01-01,2015,1,229,24799
2015-06-01,2015,6,117,28070
2015-07-01,2015,7,23,27370
2015-08-01,2015,8,111,23048
2015-11-01,2015,11,91,25903
2015-12-01,2015,12,281,24840
2016-01-01,2016,1,172,24140
2016-06-01,2016,6,92,22358
2016-07-01,2016,7,50,20354
2016-08-01,2016,8,62,20602
2016-11-01,2016,11,128,21497
2016-12-01,2016,12,63,23008
2017-01-01,2017,1,189,22084
2017-06-01,2017,6,119,27546
2017-07-01,2017,7,106,28752
2017-08-01,2017,8,171,29174
2017-11-01,2017,11,213,30095
2017-12-01,2017,12,156,28922
2018-01-01,2018,1,201,27938
2018-06-01,2018,6,119,28221
2018-07-01,2018,7,83,26624
2018-08-01,2018,8,29,33654
2018-11-01,2018,11,184,27870
2018-12-01,2018,12,181,26806
2019-01-01,2019,1,295,27071
2019-06-01,2019,6,26,30413
2019-07-01,2019,7,32,28811
2019-08-01,2019,8,27,29978
2019-11-01,2019,11,128,26021
2019-12-01,2019,12,105,23935
