Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-11-01,2004,11,17,11491
2005-01-01,2005,1,69,11524
2005-12-01,2005,12,10,10078
2006-01-01,2006,1,32,11850
2006-06-01,2006,6,2,18150
2006-11-01,2006,11,16,15500
2006-12-01,2006,12,21,69657
2007-01-01,2007,1,16,15785
2007-06-01,2007,6,16,12921
2007-08-01,2007,8,3,14372
2007-11-01,2007,11,9,12381
2007-12-01,2007,12,24,12082
2008-01-01,2008,1,65,11626
2008-06-01,2008,6,47,9116
2008-07-01,2008,7,44,6773
2008-08-01,2008,8,1,13399
2008-11-01,2008,11,25,10471
2008-12-01,2008,12,31,8626
2009-01-01,2009,1,57,8627
2009-06-01,2009,6,44,9193
2009-07-01,2009,7,31,10523
2009-11-01,2009,11,27,11736
2009-12-01,2009,12,161,9263
2010-01-01,2010,1,113,11229
2010-06-01,2010,6,29,13671
2010-07-01,2010,7,14,11535
2010-08-01,2010,8,12,12276
2010-11-01,2010,11,41,16738
2010-12-01,2010,12,104,13332
2011-01-01,2011,1,189,14092
2011-06-01,2011,6,93,12873
2011-07-01,2011,7,49,13391
2011-08-01,2011,8,31,12777
2019-01-01,2019,1,96,34223
2019-06-01,2019,6,58,34660
2019-07-01,2019,7,62,31443
2019-08-01,2019,8,32,35174
2019-11-01,2019,11,44,31379
2019-12-01,2019,12,56,31985
