Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,40,7741
2002-07-01,2002,7,54,11593
2002-08-01,2002,8,14,8511
2002-11-01,2002,11,123,7881
2002-12-01,2002,12,41,9032
2003-01-01,2003,1,120,9513
2003-06-01,2003,6,14,7435
2003-07-01,2003,7,69,8554
2003-08-01,2003,8,74,8892
2003-11-01,2003,11,83,5839
2003-12-01,2003,12,136,5852
2004-01-01,2004,1,60,5791
2004-06-01,2004,6,37,4989
2004-07-01,2004,7,26,5455
2004-08-01,2004,8,21,7025
2005-01-01,2005,1,41,8060
2005-06-01,2005,6,44,8822
2005-07-01,2005,7,24,7757
2005-08-01,2005,8,13,8424
2005-11-01,2005,11,31,8690
2005-12-01,2005,12,22,10210
2006-01-01,2006,1,31,8111
2006-06-01,2006,6,5,7381
2006-07-01,2006,7,20,11798
2006-08-01,2006,8,27,7796
2006-11-01,2006,11,35,9026
2006-12-01,2006,12,42,11741
2007-01-01,2007,1,37,13538
2007-06-01,2007,6,51,7248
2007-07-01,2007,7,19,10507
2007-08-01,2007,8,29,10520
2007-11-01,2007,11,78,10609
2007-12-01,2007,12,58,9156
2008-01-01,2008,1,29,8859
2008-06-01,2008,6,59,8262
2008-07-01,2008,7,93,9612
2008-08-01,2008,8,83,9570
2008-11-01,2008,11,113,7463
2008-12-01,2008,12,50,7680
2009-01-01,2009,1,161,8384
2009-06-01,2009,6,13,9543
2009-08-01,2009,8,12,10678
2009-11-01,2009,11,41,11017
2009-12-01,2009,12,140,10282
2010-01-01,2010,1,35,13394
2010-06-01,2010,6,71,12562
2010-07-01,2010,7,65,12822
2010-08-01,2010,8,76,12464
2010-11-01,2010,11,79,15145
2010-12-01,2010,12,32,12119
2011-01-01,2011,1,160,11921
2011-06-01,2011,6,54,11794
2011-07-01,2011,7,48,13068
2011-08-01,2011,8,106,12786
2011-11-01,2011,11,140,14026
2011-12-01,2011,12,63,11334
2012-01-01,2012,1,161,11470
2012-06-01,2012,6,123,12410
2012-07-01,2012,7,187,13079
2012-08-01,2012,8,82,12943
2012-11-01,2012,11,47,14128
2012-12-01,2012,12,127,12292
2013-01-01,2013,1,268,10238
2013-06-01,2013,6,225,13977
2013-07-01,2013,7,46,15072
2014-01-01,2014,1,124,19859
2014-06-01,2014,6,93,37153
2014-07-01,2014,7,170,46433
2014-08-01,2014,8,11,44086
2014-11-01,2014,11,48,17346
2015-01-01,2015,1,1033,28750
2015-06-01,2015,6,68,24134
2015-07-01,2015,7,77,22718
2015-11-01,2015,11,50,18106
2015-12-01,2015,12,85,27968
2016-06-01,2016,6,80310,23999
2016-07-01,2016,7,64,24672
2016-08-01,2016,8,7,21238
2016-12-01,2016,12,67,25520
2017-01-01,2017,1,295,26111
2017-06-01,2017,6,32,30854
2017-07-01,2017,7,41,33692
2017-08-01,2017,8,140,29480
2017-11-01,2017,11,70,32203
2017-12-01,2017,12,83,29377
2018-01-01,2018,1,176,33330
2018-06-01,2018,6,138,24248
2018-07-01,2018,7,283,16200
2018-08-01,2018,8,202,20786
2018-11-01,2018,11,81,35280
2018-12-01,2018,12,249,17880
2019-01-01,2019,1,27,24023
2019-06-01,2019,6,22,16216
2019-07-01,2019,7,131,32555
2019-08-01,2019,8,11,25000
2019-11-01,2019,11,980,20763
