Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-11-01,2011,11,2,3056
2011-12-01,2011,12,133,3211
2012-01-01,2012,1,83,3177
2012-06-01,2012,6,9,3000
2013-06-01,2013,6,3,3286
2014-01-01,2014,1,44,3116
2014-11-01,2014,11,1,4342
2014-12-01,2014,12,31,4353
2015-01-01,2015,1,781,4538
2015-06-01,2015,6,1,4800
2015-11-01,2015,11,1,10725
2015-12-01,2015,12,101,8674
2016-01-01,2016,1,60,7374
2016-06-01,2016,6,13,8425
2016-11-01,2016,11,860,5615
2016-12-01,2016,12,4159,4934
2017-01-01,2017,1,878,4206
2017-06-01,2017,6,29,3007
2017-07-01,2017,7,11,3235
2017-08-01,2017,8,9,3122
2017-11-01,2017,11,59,3111
2017-12-01,2017,12,196,3918
2018-01-01,2018,1,370,3837
2018-06-01,2018,6,5,3152
2018-07-01,2018,7,5,3140
2018-08-01,2018,8,1,3000
2018-11-01,2018,11,107,4297
2018-12-01,2018,12,350,4558
2019-01-01,2019,1,392,4622
2019-06-01,2019,6,18,4888
2019-07-01,2019,7,1,4800
2019-08-01,2019,8,25,4733
2019-11-01,2019,11,1,4301
2019-12-01,2019,12,87,4703
