Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-12-01,2011,12,78,3543
2012-01-01,2012,1,217,3597
2012-06-01,2012,6,18,3689
2012-07-01,2012,7,19,4070
2012-08-01,2012,8,3,4333
2014-01-01,2014,1,179,3981
2014-06-01,2014,6,40,3907
2014-08-01,2014,8,9,4856
2015-01-01,2015,1,3489,5355
2015-06-01,2015,6,45,6953
2015-07-01,2015,7,19,6987
2015-08-01,2015,8,15,9135
2015-11-01,2015,11,6,10333
2015-12-01,2015,12,176,9628
2016-01-01,2016,1,236,9106
2016-06-01,2016,6,91,8822
2016-07-01,2016,7,59,8750
2016-08-01,2016,8,23,6414
2016-12-01,2016,12,58,4495
2017-01-01,2017,1,378,4417
2017-06-01,2017,6,208,3473
2017-07-01,2017,7,123,3488
2017-08-01,2017,8,116,4009
2017-11-01,2017,11,15,3442
2017-12-01,2017,12,186,3875
2018-01-01,2018,1,535,4135
2018-06-01,2018,6,186,3491
2018-07-01,2018,7,109,3675
2018-08-01,2018,8,70,3675
2018-11-01,2018,11,27,4642
2018-12-01,2018,12,334,4663
2019-01-01,2019,1,362,5044
2019-06-01,2019,6,56,5563
2019-07-01,2019,7,18,5743
2019-08-01,2019,8,16,5789
2019-12-01,2019,12,51,5177
