Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,58,2750
2002-07-01,2002,7,65,2462
2002-08-01,2002,8,104,2685
2002-11-01,2002,11,68,2770
2002-12-01,2002,12,157,2669
2003-01-01,2003,1,178,2421
2003-06-01,2003,6,61,2670
2003-07-01,2003,7,61,2613
2003-08-01,2003,8,115,2582
2003-11-01,2003,11,55,2456
2004-01-01,2004,1,102,2832
2004-06-01,2004,6,26,2823
2004-07-01,2004,7,31,2846
2004-08-01,2004,8,60,3025
2004-11-01,2004,11,28,3064
2004-12-01,2004,12,49,3056
2005-01-01,2005,1,65,2938
2005-06-01,2005,6,109,2983
2005-07-01,2005,7,85,3020
2005-08-01,2005,8,73,3000
2005-11-01,2005,11,27,3232
2005-12-01,2005,12,52,3053
2006-01-01,2006,1,110,2839
2006-06-01,2006,6,167,2875
2006-07-01,2006,7,78,2807
2006-08-01,2006,8,65,2985
2006-12-01,2006,12,2,3225
2007-01-01,2007,1,18,3147
2007-06-01,2007,6,89,3291
2007-07-01,2007,7,60,3307
2007-08-01,2007,8,52,3444
2007-11-01,2007,11,93,3718
2007-12-01,2007,12,76,3978
2008-01-01,2008,1,115,3789
2008-06-01,2008,6,79,3825
2008-07-01,2008,7,84,3944
2008-08-01,2008,8,64,4223
2008-11-01,2008,11,87,4548
2008-12-01,2008,12,63,4377
2009-01-01,2009,1,72,4407
2010-07-01,2010,7,2,6450
2011-07-01,2011,7,1,6000
2011-08-01,2011,8,1,6080
2011-12-01,2011,12,1,6000
2012-01-01,2012,1,1,6200
2012-07-01,2012,7,1,6200
2012-11-01,2012,11,1857,4500
2016-06-01,2016,6,2,13000
2016-07-01,2016,7,1,12794
2016-12-01,2016,12,4,8425
2017-01-01,2017,1,8,10800
2017-07-01,2017,7,14,6433
