Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,10,2600
2011-11-01,2011,11,23,2500
2011-12-01,2011,12,4,2517
2012-01-01,2012,1,7,2601
2014-01-01,2014,1,2,947
2015-01-01,2015,1,1113,3971
2015-12-01,2015,12,126,7395
2016-01-01,2016,1,326,7379
2016-11-01,2016,11,14,4957
2016-12-01,2016,12,232,4641
2017-01-01,2017,1,403,4050
2017-11-01,2017,11,127,1876
2017-12-01,2017,12,16,3086
2018-01-01,2018,1,254,3496
2018-11-01,2018,11,13,2890
2018-12-01,2018,12,190,3878
2019-01-01,2019,1,357,4234
2019-06-01,2019,6,4,4060
2019-07-01,2019,7,8,4949
2019-08-01,2019,8,16,5958
2019-11-01,2019,11,11,3782
2019-12-01,2019,12,2,2299
