Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-11-01,2011,11,48,3542
2011-12-01,2011,12,613,3694
2012-01-01,2012,1,62,3723
2012-06-01,2012,6,128,4111
2012-07-01,2012,7,36,4456
2012-08-01,2012,8,19,4704
2012-12-01,2012,12,1328,3823
2013-06-01,2013,6,2406,3794
2013-07-01,2013,7,21,4014
2013-08-01,2013,8,4,4056
2014-01-01,2014,1,766,3970
2014-06-01,2014,6,171,4051
2014-07-01,2014,7,20,4305
2014-08-01,2014,8,14,4600
2015-01-01,2015,1,25559,5204
2015-06-01,2015,6,44,6884
2015-07-01,2015,7,13,6284
2015-08-01,2015,8,7,9243
2015-11-01,2015,11,58,10752
2015-12-01,2015,12,394,9644
2016-01-01,2016,1,393,9031
2016-06-01,2016,6,354,8511
2016-07-01,2016,7,200,8294
2016-08-01,2016,8,43,6728
2016-11-01,2016,11,81,5267
2016-12-01,2016,12,202,4618
2017-01-01,2017,1,839,4486
2017-06-01,2017,6,169,3566
2017-07-01,2017,7,228,3532
2017-08-01,2017,8,176,4050
2017-11-01,2017,11,48,3637
2017-12-01,2017,12,124,4153
2018-01-01,2018,1,1362,4124
2018-06-01,2018,6,141,3681
2018-07-01,2018,7,81,3667
2018-08-01,2018,8,39,3720
2018-11-01,2018,11,93,4479
2018-12-01,2018,12,1337,4719
2019-01-01,2019,1,1296,4944
2019-07-01,2019,7,21,5393
2019-08-01,2019,8,31,5369
2019-11-01,2019,11,5,5000
2019-12-01,2019,12,257,4882
