Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2010-01-01,2010,1,18,3589
2010-06-01,2010,6,7,2520
2010-07-01,2010,7,5,2344
2011-01-01,2011,1,2,2535
2011-06-01,2011,6,20,1324
2011-07-01,2011,7,8,1350
2011-08-01,2011,8,3,1280
2012-01-01,2012,1,2,1825
2014-01-01,2014,1,26,2746
2014-12-01,2014,12,3,3875
2015-01-01,2015,1,1211,3973
2015-06-01,2015,6,9,4773
2015-07-01,2015,7,1,3963
2015-08-01,2015,8,1,5841
2015-11-01,2015,11,1,7355
2015-12-01,2015,12,119,7684
2016-01-01,2016,1,64,6010
2016-06-01,2016,6,2,5663
2016-07-01,2016,7,1,5812
2016-11-01,2016,11,12,4572
2016-12-01,2016,12,396,4323
2017-01-01,2017,1,112,3411
2017-06-01,2017,6,23,2634
2017-07-01,2017,7,11,2336
2017-11-01,2017,11,11,2479
2017-12-01,2017,12,16,2929
2018-01-01,2018,1,102,3290
2018-06-01,2018,6,14,2538
2018-07-01,2018,7,12,2510
2018-08-01,2018,8,10,2439
2018-11-01,2018,11,3,3383
2018-12-01,2018,12,67,3775
2019-01-01,2019,1,104,3924
2019-06-01,2019,6,3,3763
2019-11-01,2019,11,3,3124
2019-12-01,2019,12,9,3786
