Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-06-01,2003,6,8,2600
2006-11-01,2006,11,10,1500
2007-08-01,2007,8,14,3280
2007-11-01,2007,11,11,3367
2007-12-01,2007,12,3,3400
2008-01-01,2008,1,5,3267
2008-06-01,2008,6,2,3600
2008-07-01,2008,7,3,3700
2008-08-01,2008,8,4,3850
2008-11-01,2008,11,15,3820
2009-06-01,2009,6,6,3800
2009-07-01,2009,7,10,6000
2009-08-01,2009,8,3,4000
2010-06-01,2010,6,3,8000
2010-12-01,2010,12,2,4300
2011-01-01,2011,1,1,4500
2011-12-01,2011,12,1,4600
2012-01-01,2012,1,7,4800
2012-12-01,2012,12,3,4800
2016-12-01,2016,12,20,5050
2017-01-01,2017,1,15,6000
2019-01-01,2019,1,7,3250
2019-06-01,2019,6,6,4500
