Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-11-01,2011,11,10625,3517
2011-12-01,2011,12,16699,3589
2012-01-01,2012,1,23367,3654
2012-06-01,2012,6,7506,4059
2012-07-01,2012,7,5581,4468
2012-08-01,2012,8,3323,4751
2012-11-01,2012,11,3638,4093
2012-12-01,2012,12,17768,3804
2013-06-01,2013,6,18948,3762
2013-07-01,2013,7,3566,4170
2013-08-01,2013,8,1859,4192
2014-01-01,2014,1,28439,4030
2014-06-01,2014,6,12855,4143
2014-07-01,2014,7,7858,4362
2014-08-01,2014,8,10561,5056
2014-11-01,2014,11,3490,5039
2014-12-01,2014,12,11796,4875
2015-01-01,2015,1,329358,5152
2015-06-01,2015,6,8021,7090
2015-07-01,2015,7,5360,7378
2015-08-01,2015,8,2511,9426
2015-11-01,2015,11,1377,10540
2015-12-01,2015,12,9518,9964
2016-01-01,2016,1,6978,9355
2016-06-01,2016,6,9948,8598
2016-07-01,2016,7,8262,8339
2016-08-01,2016,8,4070,6499
2016-11-01,2016,11,9017,5608
2016-12-01,2016,12,13256,4924
2017-01-01,2017,1,18960,4476
2017-06-01,2017,6,12779,3710
2017-07-01,2017,7,12627,3689
2017-08-01,2017,8,13689,4159
2017-11-01,2017,11,8324,3780
2017-12-01,2017,12,9769,4085
2018-01-01,2018,1,26866,4173
2018-06-01,2018,6,8995,3751
2018-07-01,2018,7,8433,3780
2018-08-01,2018,8,5243,3794
2018-11-01,2018,11,2740,4406
2018-12-01,2018,12,7927,4761
2019-01-01,2019,1,15323,4970
2019-06-01,2019,6,4932,5684
2019-07-01,2019,7,4746,5742
2019-08-01,2019,8,5270,5694
2019-11-01,2019,11,2541,5524
2019-12-01,2019,12,5245,5240
