Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-06-01,2003,6,11,2550
2003-07-01,2003,7,20,2675
2003-08-01,2003,8,6,2583
2003-11-01,2003,11,53,2921
2004-01-01,2004,1,52,2767
2004-06-01,2004,6,9,3017
2004-07-01,2004,7,15,3000
2004-08-01,2004,8,6,3262
2004-11-01,2004,11,21,2962
2004-12-01,2004,12,8,2812
2005-01-01,2005,1,14,2583
2005-06-01,2005,6,77,2792
2005-07-01,2005,7,66,2975
2005-08-01,2005,8,15,2925
2005-11-01,2005,11,23,3033
2005-12-01,2005,12,17,3000
2006-01-01,2006,1,20,2700
2006-06-01,2006,6,62,2983
2006-07-01,2006,7,24,2940
2006-08-01,2006,8,27,3012
2006-11-01,2006,11,32,3112
2006-12-01,2006,12,16,2975
2007-01-01,2007,1,18,3033
2007-06-01,2007,6,8,3600
2007-07-01,2007,7,47,3850
2007-08-01,2007,8,22,3800
2007-11-01,2007,11,23,4030
2007-12-01,2007,12,11,4275
2008-01-01,2008,1,32,3860
2008-06-01,2008,6,29,4050
2008-07-01,2008,7,23,4350
2008-08-01,2008,8,22,4510
2008-11-01,2008,11,17,4550
2008-12-01,2008,12,13,4475
2009-01-01,2009,1,1,4950
2009-06-01,2009,6,21,6190
2009-07-01,2009,7,4,8125
2009-11-01,2009,11,9,8340
2009-12-01,2009,12,7,8200
2010-01-01,2010,1,12,7200
2010-06-01,2010,6,9,6605
2010-08-01,2010,8,31,6336
2010-11-01,2010,11,13,5850
2010-12-01,2010,12,47,5776
2011-01-01,2011,1,13,5912
2011-06-01,2011,6,20,6050
2011-07-01,2011,7,33,5930
2011-08-01,2011,8,41,6085
2011-11-01,2011,11,34,6053
2011-12-01,2011,12,53,5967
2012-01-01,2012,1,28,5906
2012-06-01,2012,6,59,6410
2012-07-01,2012,7,31,7016
2012-08-01,2012,8,18,7400
2012-11-01,2012,11,37,6856
2012-12-01,2012,12,28,4893
2013-06-01,2013,6,24,6297
2015-11-01,2015,11,19,19000
2015-12-01,2015,12,2,18000
2016-01-01,2016,1,27,15000
2016-06-01,2016,6,44,13638
2016-07-01,2016,7,2,14008
2016-08-01,2016,8,19,12758
2016-11-01,2016,11,46,11230
2016-12-01,2016,12,10,7804
2017-01-01,2017,1,37,11210
2017-06-01,2017,6,57,6400
2017-07-01,2017,7,41,7500
2017-08-01,2017,8,27,6100
2018-01-01,2018,1,33,3426
