Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-11-01,2011,11,10,1600
2012-06-01,2012,6,16,1600
2014-01-01,2014,1,47,3115
2014-08-01,2014,8,4,3500
2015-01-01,2015,1,638,4415
2016-01-01,2016,1,161,6918
2016-08-01,2016,8,69,4200
2016-11-01,2016,11,17,9018
2016-12-01,2016,12,2,4150
2017-01-01,2017,1,1,7800
2017-06-01,2017,6,30,5683
2017-07-01,2017,7,7,6460
2017-08-01,2017,8,12,5536
2017-12-01,2017,12,6,2000
2018-01-01,2018,1,48,3233
2018-06-01,2018,6,19,2727
2018-07-01,2018,7,17,2800
2018-08-01,2018,8,3,2700
2019-01-01,2019,1,45,3750
2019-06-01,2019,6,23,4100
2019-08-01,2019,8,18,4200
2019-11-01,2019,11,6,4000
2019-12-01,2019,12,13,3850
