Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-01-01,2008,1,89,2105
2011-11-01,2011,11,5,3220
2011-12-01,2011,12,58,3510
2012-01-01,2012,1,170,3541
2012-06-01,2012,6,30,3586
2012-07-01,2012,7,10,3952
2012-08-01,2012,8,8,3929
2012-12-01,2012,12,18,3629
2013-06-01,2013,6,329,3568
2014-01-01,2014,1,499,3940
2014-06-01,2014,6,2,3950
2014-08-01,2014,8,1,4500
2014-12-01,2014,12,26,4875
2015-01-01,2015,1,2548,5239
2015-06-01,2015,6,12,6862
2015-11-01,2015,11,8,10500
2015-12-01,2015,12,133,9848
2016-01-01,2016,1,123,8838
2016-06-01,2016,6,35,8235
2016-07-01,2016,7,19,8443
2016-12-01,2016,12,35,4710
2017-01-01,2017,1,357,4529
2017-06-01,2017,6,147,3620
2017-07-01,2017,7,81,3436
2017-08-01,2017,8,52,3928
2017-12-01,2017,12,265,3986
2018-01-01,2018,1,368,4001
2018-11-01,2018,11,18,4558
2018-12-01,2018,12,111,4549
2019-01-01,2019,1,179,5051
