Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-12-01,2011,12,5,2059
2012-01-01,2012,1,10,2266
2013-06-01,2013,6,4,2678
2014-01-01,2014,1,82,3011
2014-12-01,2014,12,1,3911
2015-01-01,2015,1,1067,4081
2015-12-01,2015,12,32,7531
2016-01-01,2016,1,61,7128
2016-11-01,2016,11,7,5002
2016-12-01,2016,12,158,4243
2017-01-01,2017,1,127,3570
2017-12-01,2017,12,6,3062
2018-01-01,2018,1,89,3286
2018-06-01,2018,6,7,2786
2018-07-01,2018,7,2,3003
2018-08-01,2018,8,2,2920
2018-11-01,2018,11,1,4013
2018-12-01,2018,12,28,4118
2019-01-01,2019,1,68,4051
2019-06-01,2019,6,2,4597
2019-11-01,2019,11,4,3729
2019-12-01,2019,12,1,4269
