Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,9,1542
2002-07-01,2002,7,7,1582
2002-11-01,2002,11,1,1489
2002-12-01,2002,12,1614,1251
2003-01-01,2003,1,3639,1279
2003-06-01,2003,6,20,1636
2003-07-01,2003,7,2,1589
2004-01-01,2004,1,3538,1689
2004-06-01,2004,6,69,1351
2004-07-01,2004,7,13,1498
2004-08-01,2004,8,14,1408
2004-11-01,2004,11,67,1510
2004-12-01,2004,12,2642,1459
2005-01-01,2005,1,2404,1409
2005-06-01,2005,6,46,1687
2005-07-01,2005,7,7,1562
2005-08-01,2005,8,3,1272
2005-12-01,2005,12,218,1521
2006-01-01,2006,1,4737,1383
2006-06-01,2006,6,45,1298
2006-07-01,2006,7,33,1362
2006-08-01,2006,8,10,1559
2006-11-01,2006,11,176,1625
2006-12-01,2006,12,7198,1621
2007-01-01,2007,1,6285,1883
2007-06-01,2007,6,38,2164
2007-07-01,2007,7,35,2020
2007-08-01,2007,8,7,2146
2007-11-01,2007,11,120,2323
2007-12-01,2007,12,6597,2397
2008-01-01,2008,1,9210,2003
2008-06-01,2008,6,54,2175
2008-07-01,2008,7,54,2390
2008-08-01,2008,8,3,1384
2008-11-01,2008,11,32,2474
2008-12-01,2008,12,2482,2705
2009-01-01,2009,1,5020,2997
2009-06-01,2009,6,17,3264
2009-07-01,2009,7,2,5280
2009-08-01,2009,8,3,3929
2009-11-01,2009,11,227,4930
2009-12-01,2009,12,8355,4744
2010-01-01,2010,1,10241,4211
2010-06-01,2010,6,420,3383
2010-07-01,2010,7,261,3294
2010-08-01,2010,8,169,2884
2010-11-01,2010,11,25,2761
2010-12-01,2010,12,31905,2778
2011-01-01,2011,1,32192,3402
2011-07-01,2011,7,59,3160
2011-11-01,2011,11,731,3235
2011-12-01,2011,12,9663,3240
2012-01-01,2012,1,11310,3252
2012-06-01,2012,6,314,3497
2012-07-01,2012,7,149,3752
2012-08-01,2012,8,32,3966
2012-11-01,2012,11,50,3201
2012-12-01,2012,12,16542,3520
2013-06-01,2013,6,11853,3659
2013-07-01,2013,7,21,3232
2013-08-01,2013,8,7,2903
2014-01-01,2014,1,16623,4231
2014-06-01,2014,6,163,3949
2014-07-01,2014,7,107,3448
2014-08-01,2014,8,15,4178
2015-01-01,2015,1,139313,4856
2015-06-01,2015,6,23,5920
2015-07-01,2015,7,10,5824
2015-08-01,2015,8,2,6779
2015-11-01,2015,11,394,10498
2015-12-01,2015,12,8172,7980
2016-01-01,2016,1,4984,7842
2016-06-01,2016,6,1618,8822
2016-07-01,2016,7,798,8293
2016-08-01,2016,8,279,6237
2016-11-01,2016,11,1342,5535
2016-12-01,2016,12,24992,4808
2017-01-01,2017,1,15847,4310
2017-06-01,2017,6,1274,3720
2017-07-01,2017,7,870,3746
2017-08-01,2017,8,511,4160
2017-11-01,2017,11,153,3708
2017-12-01,2017,12,2762,4219
2018-01-01,2018,1,9468,3967
2018-06-01,2018,6,1152,4012
2018-07-01,2018,7,815,3898
2018-08-01,2018,8,348,3707
2018-11-01,2018,11,38,4320
2018-12-01,2018,12,788,4572
2019-01-01,2019,1,4803,5479
2019-06-01,2019,6,714,5202
2019-07-01,2019,7,165,5364
2019-08-01,2019,8,624,5260
2019-11-01,2019,11,32,5339
2019-12-01,2019,12,2923,5213
