Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2012-07-01,2012,7,1,4000
2015-01-01,2015,1,897,5308
2015-12-01,2015,12,98,9980
2016-11-01,2016,11,38,5200
2016-12-01,2016,12,95,5028
2017-01-01,2017,1,147,4354
2017-06-01,2017,6,49,3717
2017-07-01,2017,7,66,3546
2017-08-01,2017,8,96,3740
2017-11-01,2017,11,219,3714
2017-12-01,2017,12,123,3661
2018-01-01,2018,1,142,4050
2018-06-01,2018,6,136,3512
2018-07-01,2018,7,49,3409
2018-08-01,2018,8,20,3537
2018-11-01,2018,11,41,3900
2018-12-01,2018,12,30,4000
2019-01-01,2019,1,45,4567
2019-06-01,2019,6,55,5225
2019-07-01,2019,7,128,5317
2019-08-01,2019,8,125,5150
2019-11-01,2019,11,20,5400
2019-12-01,2019,12,59,4665
