Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-06-01,2004,6,15,2800
2004-07-01,2004,7,12,2875
2004-08-01,2004,8,17,2875
2004-11-01,2004,11,25,3000
2004-12-01,2004,12,15,3010
2005-01-01,2005,1,22,2888
2005-06-01,2005,6,22,3044
2005-07-01,2005,7,7,3133
2005-08-01,2005,8,20,3057
2005-11-01,2005,11,8,3017
2005-12-01,2005,12,9,3038
2006-01-01,2006,1,7,2967
2006-06-01,2006,6,30,3078
2006-07-01,2006,7,28,2988
2006-08-01,2006,8,20,3012
2006-11-01,2006,11,20,3075
2006-12-01,2006,12,11,3000
2007-01-01,2007,1,18,3014
2007-06-01,2007,6,24,3333
2007-07-01,2007,7,27,3271
2007-08-01,2007,8,26,3583
2007-11-01,2007,11,36,3712
2007-12-01,2007,12,37,3657
2008-01-01,2008,1,72,3512
2008-06-01,2008,6,20,3940
2008-07-01,2008,7,37,4289
2008-08-01,2008,8,27,4400
2008-11-01,2008,11,31,4250
2008-12-01,2008,12,20,4540
2009-01-01,2009,1,14,4400
2009-06-01,2009,6,26,4557
2009-07-01,2009,7,29,6257
2009-08-01,2009,8,9,7000
2009-11-01,2009,11,28,7138
2009-12-01,2009,12,23,6894
2010-01-01,2010,1,22,6888
2010-06-01,2010,6,17,6250
2010-07-01,2010,7,24,6200
2010-08-01,2010,8,34,6000
2015-11-01,2015,11,5,11767
2015-12-01,2015,12,1,14200
2016-01-01,2016,1,3,12250
2016-06-01,2016,6,2,13600
2016-08-01,2016,8,1,8800
2017-01-01,2017,1,2,4000
