Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-11-01,2011,11,341,3476
2011-12-01,2011,12,4626,4006
2012-01-01,2012,1,6658,4122
2012-06-01,2012,6,153,4005
2012-07-01,2012,7,32,3988
2012-08-01,2012,8,37,4650
2012-11-01,2012,11,54,3789
2012-12-01,2012,12,5944,3921
2013-06-01,2013,6,7290,3808
2013-07-01,2013,7,65,4105
2013-08-01,2013,8,12,4277
2014-01-01,2014,1,9296,4270
2014-06-01,2014,6,395,4196
2015-01-01,2015,1,69941,5120
2015-06-01,2015,6,17,7239
2015-08-01,2015,8,2,9149
2015-11-01,2015,11,65,10810
2015-12-01,2015,12,4646,9744
2016-01-01,2016,1,3519,9444
2016-06-01,2016,6,1276,8818
2016-07-01,2016,7,500,8440
2016-08-01,2016,8,77,6384
2016-11-01,2016,11,98,5418
2016-12-01,2016,12,7316,5038
2017-01-01,2017,1,8640,4555
2017-06-01,2017,6,315,3676
2017-07-01,2017,7,243,3757
2017-08-01,2017,8,278,4246
2017-11-01,2017,11,147,3729
2017-12-01,2017,12,1428,4115
2018-01-01,2018,1,6316,4244
2018-06-01,2018,6,809,3804
2018-07-01,2018,7,378,3928
2018-08-01,2018,8,261,3828
2018-11-01,2018,11,458,4727
2018-12-01,2018,12,3369,5053
2019-01-01,2019,1,4696,5507
2019-06-01,2019,6,236,5684
2019-07-01,2019,7,97,5757
2019-08-01,2019,8,58,5565
2019-11-01,2019,11,66,5558
2019-12-01,2019,12,2102,5900
