Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,5,500
2002-12-01,2002,12,76,502
2003-01-01,2003,1,9,505
2003-11-01,2003,11,66,477
2003-12-01,2003,12,30,545
2004-01-01,2004,1,4,645
2004-08-01,2004,8,7,489
2004-11-01,2004,11,167,433
2004-12-01,2004,12,157,442
2005-01-01,2005,1,126,429
2005-08-01,2005,8,5,439
2005-11-01,2005,11,1228,506
2005-12-01,2005,12,849,545
2006-01-01,2006,1,454,531
2006-08-01,2006,8,6,564
2006-11-01,2006,11,582,715
2006-12-01,2006,12,344,618
2007-01-01,2007,1,134,616
2007-08-01,2007,8,36,597
2007-11-01,2007,11,2584,557
2007-12-01,2007,12,1394,546
2008-01-01,2008,1,718,559
2008-06-01,2008,6,5,683
2008-07-01,2008,7,3,682
2008-08-01,2008,8,25,748
2008-11-01,2008,11,586,754
2008-12-01,2008,12,279,725
2009-01-01,2009,1,92,708
2009-07-01,2009,7,4,715
2009-08-01,2009,8,33,748
2009-11-01,2009,11,961,749
2009-12-01,2009,12,681,759
2010-01-01,2010,1,287,754
2010-06-01,2010,6,3,779
2010-07-01,2010,7,6,805
2010-08-01,2010,8,9,847
2010-11-01,2010,11,334,804
2010-12-01,2010,12,417,797
2011-01-01,2011,1,72,792
2011-07-01,2011,7,1,950
2011-08-01,2011,8,1,900
2011-11-01,2011,11,1101,946
2011-12-01,2011,12,226,968
2012-01-01,2012,1,95,1007
2012-08-01,2012,8,14,1179
2012-11-01,2012,11,907,1221
2012-12-01,2012,12,352,1289
2013-01-01,2013,1,191,1277
2013-08-01,2013,8,6,1167
2013-11-01,2013,11,2050,1161
2013-12-01,2013,12,1129,1098
2014-01-01,2014,1,379,1049
2014-11-01,2014,11,1309,1081
2014-12-01,2014,12,849,1047
2015-01-01,2015,1,2169,1058
2015-06-01,2015,6,3,1001
2015-11-01,2015,11,262,1395
2015-12-01,2015,12,242,1456
2016-01-01,2016,1,56,1377
2016-08-01,2016,8,29,1464
2016-11-01,2016,11,133,1431
2016-12-01,2016,12,118,1506
2017-01-01,2017,1,87,1479
2017-06-01,2017,6,16,1501
2017-07-01,2017,7,3,1439
2017-11-01,2017,11,469,1132
2017-12-01,2017,12,275,1164
2018-01-01,2018,1,197,1164
2018-06-01,2018,6,15,1042
2018-07-01,2018,7,10,1076
2018-11-01,2018,11,362,1614
2018-12-01,2018,12,97,1663
2019-01-01,2019,1,25,1639
2019-06-01,2019,6,1,1800
2019-07-01,2019,7,2,1720
2019-11-01,2019,11,805,1773
2019-12-01,2019,12,443,1794
