Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,5,535
2002-08-01,2002,8,3,507
2002-11-01,2002,11,327,474
2002-12-01,2002,12,171,495
2003-01-01,2003,1,57,514
2003-07-01,2003,7,2,545
2003-08-01,2003,8,6,488
2003-11-01,2003,11,306,449
2003-12-01,2003,12,121,474
2004-01-01,2004,1,46,480
2004-06-01,2004,6,10,456
2004-07-01,2004,7,6,508
2004-08-01,2004,8,10,511
2004-11-01,2004,11,400,466
2004-12-01,2004,12,399,456
2005-01-01,2005,1,188,448
2005-06-01,2005,6,16,496
2005-07-01,2005,7,15,539
2005-08-01,2005,8,27,564
2005-11-01,2005,11,327,538
2005-12-01,2005,12,205,515
2006-01-01,2006,1,198,538
2006-06-01,2006,6,26,559
2006-07-01,2006,7,22,601
2006-08-01,2006,8,23,638
2006-11-01,2006,11,309,685
2006-12-01,2006,12,114,633
2007-01-01,2007,1,136,631
2007-06-01,2007,6,4,598
2007-07-01,2007,7,7,618
2007-08-01,2007,8,2,610
2007-11-01,2007,11,752,621
2007-12-01,2007,12,553,599
2008-01-01,2008,1,305,607
2008-06-01,2008,6,42,685
2008-07-01,2008,7,22,851
2008-08-01,2008,8,24,780
2008-11-01,2008,11,622,820
2008-12-01,2008,12,240,804
2009-01-01,2009,1,158,769
2009-06-01,2009,6,15,750
2009-07-01,2009,7,9,854
2009-11-01,2009,11,410,938
2009-12-01,2009,12,223,825
2010-01-01,2010,1,141,819
2010-06-01,2010,6,10,864
2010-07-01,2010,7,12,904
2010-08-01,2010,8,9,841
2010-11-01,2010,11,56,850
2010-12-01,2010,12,110,894
2011-01-01,2011,1,25,893
2011-06-01,2011,6,3,838
2011-08-01,2011,8,2,875
2011-11-01,2011,11,525,1007
2011-12-01,2011,12,208,1057
2012-01-01,2012,1,115,1083
2012-06-01,2012,6,14,952
2012-07-01,2012,7,21,1117
2012-08-01,2012,8,21,1204
2012-11-01,2012,11,334,1151
2013-11-01,2013,11,29,1128
2013-12-01,2013,12,26,1217
2014-01-01,2014,1,27,1119
2014-06-01,2014,6,1,1150
2014-12-01,2014,12,345,1338
2015-01-01,2015,1,1169,1332
2015-06-01,2015,6,23,1155
2015-07-01,2015,7,9,1199
2015-08-01,2015,8,8,1306
2015-11-01,2015,11,431,1438
2015-12-01,2015,12,372,1464
2016-01-01,2016,1,190,1443
2016-06-01,2016,6,56,1710
2016-07-01,2016,7,50,1715
2016-08-01,2016,8,37,1675
2016-11-01,2016,11,40,1306
2016-12-01,2016,12,109,1330
2017-01-01,2017,1,63,1335
2017-06-01,2017,6,17,1304
2017-07-01,2017,7,10,1346
2017-11-01,2017,11,311,1106
2017-12-01,2017,12,225,1113
2018-01-01,2018,1,82,1109
2018-06-01,2018,6,16,970
2018-07-01,2018,7,14,1052
2018-08-01,2018,8,9,1088
2018-11-01,2018,11,121,1896
2018-12-01,2018,12,50,1761
2019-01-01,2019,1,21,1712
2019-11-01,2019,11,164,1513
2019-12-01,2019,12,171,1739
