Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,3,512
2003-01-01,2003,1,25,500
2003-06-01,2003,6,12,727
2003-07-01,2003,7,4,588
2003-08-01,2003,8,1,569
2003-11-01,2003,11,81,460
2003-12-01,2003,12,15,475
2004-01-01,2004,1,8,467
2004-11-01,2004,11,3,510
2005-07-01,2005,7,29,473
2005-08-01,2005,8,1,511
2005-11-01,2005,11,43,493
2005-12-01,2005,12,23,485
2006-01-01,2006,1,87,468
2006-06-01,2006,6,5,555
2006-08-01,2006,8,4,630
2006-11-01,2006,11,36,626
2006-12-01,2006,12,6,672
2008-07-01,2008,7,2,907
2008-11-01,2008,11,8,737
2008-12-01,2008,12,2,786
2009-01-01,2009,1,3,680
2009-07-01,2009,7,5,840
2009-11-01,2009,11,12,827
2009-12-01,2009,12,18,832
2010-01-01,2010,1,16,812
2010-07-01,2010,7,28,1018
2010-08-01,2010,8,23,1006
2010-11-01,2010,11,1,878
2010-12-01,2010,12,36,948
2011-01-01,2011,1,12,930
2011-06-01,2011,6,8,1140
2011-07-01,2011,7,10,1130
2011-08-01,2011,8,37,1084
2011-11-01,2011,11,36,1036
2011-12-01,2011,12,39,1072
2012-01-01,2012,1,30,1123
2012-06-01,2012,6,56,1077
2012-07-01,2012,7,14,1299
2012-08-01,2012,8,67,1322
2012-11-01,2012,11,120,1246
2012-12-01,2012,12,111,1347
2013-01-01,2013,1,89,1343
2013-06-01,2013,6,14,1497
2013-07-01,2013,7,5,1510
2013-08-01,2013,8,7,1384
2014-01-01,2014,1,38,1215
2014-06-01,2014,6,16,1492
2014-07-01,2014,7,28,1489
2014-08-01,2014,8,37,1446
2014-11-01,2014,11,32,1223
2014-12-01,2014,12,37,1361
2015-01-01,2015,1,478,1508
2015-06-01,2015,6,35,1392
2015-07-01,2015,7,55,1432
2015-08-01,2015,8,79,1427
2015-11-01,2015,11,59,1460
2015-12-01,2015,12,86,1520
2016-01-01,2016,1,35,1730
2016-06-01,2016,6,12,1782
2016-07-01,2016,7,10,1734
2016-08-01,2016,8,101,1588
2016-11-01,2016,11,31,1522
2016-12-01,2016,12,23,1639
2017-01-01,2017,1,23,1630
2017-06-01,2017,6,16,1681
2017-07-01,2017,7,13,1728
2017-11-01,2017,11,342,1211
2017-12-01,2017,12,435,1275
2018-01-01,2018,1,232,1239
2018-06-01,2018,6,29,1279
2018-07-01,2018,7,93,1322
2018-08-01,2018,8,139,1351
2018-11-01,2018,11,141,1817
2018-12-01,2018,12,98,1777
2019-01-01,2019,1,96,1793
2019-06-01,2019,6,99,2334
2019-07-01,2019,7,3,2539
2019-08-01,2019,8,105,2229
2019-11-01,2019,11,499,1703
2019-12-01,2019,12,397,1887
