Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,3,497
2002-12-01,2002,12,2,469
2008-11-01,2008,11,1,575
2009-11-01,2009,11,15,807
2009-12-01,2009,12,9,867
2010-11-01,2010,11,4,856
2010-12-01,2010,12,8,901
2011-01-01,2011,1,2,910
2011-11-01,2011,11,19,930
2011-12-01,2011,12,1,949
2012-11-01,2012,11,4,1065
2012-12-01,2012,12,11,1090
2015-01-01,2015,1,2,1000
2015-11-01,2015,11,5,1350
2015-12-01,2015,12,4,1400
2016-01-01,2016,1,1,1380
2016-06-01,2016,6,4,1650
2016-07-01,2016,7,1,1625
2016-08-01,2016,8,1,1500
2016-12-01,2016,12,1,1300
2017-06-01,2017,6,3,1353
2017-11-01,2017,11,9,1036
2018-01-01,2018,1,1,1220
2019-11-01,2019,11,11,1634
