Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-08-01,2005,8,8,460
2005-11-01,2005,11,31,468
2005-12-01,2005,12,67,462
2006-01-01,2006,1,72,466
2006-08-01,2006,8,8,600
2006-11-01,2006,11,15,590
2007-01-01,2007,1,20,620
2007-11-01,2007,11,179,506
2007-12-01,2007,12,83,530
2008-11-01,2008,11,25,782
2009-11-01,2009,11,46,698
2009-12-01,2009,12,5,750
2010-11-01,2010,11,102,815
2010-12-01,2010,12,32,880
2011-01-01,2011,1,19,820
2011-07-01,2011,7,2,1000
2011-08-01,2011,8,4,1050
2011-11-01,2011,11,118,971
2011-12-01,2011,12,17,847
2012-01-01,2012,1,5,1000
2012-11-01,2012,11,323,1207
2012-12-01,2012,12,236,1258
2013-01-01,2013,1,7,1250
2013-08-01,2013,8,20,1280
2014-01-01,2014,1,30,1140
2014-06-01,2014,6,12,2400
2014-11-01,2014,11,113,1006
2014-12-01,2014,12,13,1060
2015-11-01,2015,11,79,1300
2015-12-01,2015,12,53,1380
2016-01-01,2016,1,4,1380
2016-07-01,2016,7,16,1560
2016-08-01,2016,8,36,1502
2016-11-01,2016,11,63,1407
2017-11-01,2017,11,159,1104
2017-12-01,2017,12,43,1155
2018-01-01,2018,1,10,1150
2018-06-01,2018,6,59,1233
2018-07-01,2018,7,9,1150
2018-11-01,2018,11,43,1450
2018-12-01,2018,12,46,1600
2019-01-01,2019,1,22,1700
2019-11-01,2019,11,121,1692
