Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,1,300
2002-11-01,2002,11,15,329
2002-12-01,2002,12,6,400
2003-08-01,2003,8,1,500
2003-11-01,2003,11,51,425
2003-12-01,2003,12,11,428
2004-01-01,2004,1,8,450
2004-11-01,2004,11,21,462
2004-12-01,2004,12,12,456
2005-11-01,2005,11,4,474
2005-12-01,2005,12,1,440
2006-01-01,2006,1,12,491
2006-07-01,2006,7,1,400
2007-11-01,2007,11,6,660
2007-12-01,2007,12,8,650
2009-11-01,2009,11,2,800
2009-12-01,2009,12,6,800
2010-01-01,2010,1,1,700
2010-11-01,2010,11,5,750
2011-11-01,2011,11,101,949
2011-12-01,2011,12,13,946
2012-01-01,2012,1,8,973
2012-11-01,2012,11,24,1005
2012-12-01,2012,12,18,1138
2013-01-01,2013,1,5,1140
2014-11-01,2014,11,75,1149
2014-12-01,2014,12,14,1083
2015-01-01,2015,1,79,1056
2015-11-01,2015,11,61,1200
2016-12-01,2016,12,3,1400
