Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,43,509
2002-07-01,2002,7,22,502
2002-08-01,2002,8,27,533
2002-11-01,2002,11,53,492
2002-12-01,2002,12,59,496
2003-01-01,2003,1,54,494
2003-06-01,2003,6,4,508
2003-07-01,2003,7,4,517
2003-08-01,2003,8,4,508
2003-11-01,2003,11,485,434
2003-12-01,2003,12,211,431
2004-01-01,2004,1,552,447
2004-06-01,2004,6,56,472
2004-07-01,2004,7,55,488
2004-08-01,2004,8,157,498
2004-11-01,2004,11,207,454
2004-12-01,2004,12,365,446
2005-01-01,2005,1,165,423
2005-06-01,2005,6,39,453
2005-07-01,2005,7,18,467
2005-08-01,2005,8,62,464
2006-01-01,2006,1,225,492
2006-06-01,2006,6,1,520
2006-12-01,2006,12,165,616
2007-01-01,2007,1,113,641
2007-06-01,2007,6,12,668
2007-07-01,2007,7,39,680
2007-08-01,2007,8,47,624
2007-11-01,2007,11,423,562
2007-12-01,2007,12,376,576
2008-01-01,2008,1,249,598
2008-06-01,2008,6,32,765
2008-07-01,2008,7,19,840
2008-08-01,2008,8,40,848
2008-11-01,2008,11,483,725
2008-12-01,2008,12,172,730
2009-01-01,2009,1,263,724
2009-06-01,2009,6,74,785
2009-07-01,2009,7,46,782
2009-08-01,2009,8,70,776
2009-11-01,2009,11,179,735
2009-12-01,2009,12,129,756
2010-01-01,2010,1,155,741
2010-06-01,2010,6,15,901
2010-07-01,2010,7,22,933
2010-08-01,2010,8,101,899
2010-11-01,2010,11,205,795
2010-12-01,2010,12,301,811
2011-01-01,2011,1,125,832
2011-06-01,2011,6,32,1046
2011-07-01,2011,7,69,1037
2011-08-01,2011,8,135,1012
2011-11-01,2011,11,107,949
2011-12-01,2011,12,113,964
2012-01-01,2012,1,104,1068
2012-06-01,2012,6,10,1061
2012-07-01,2012,7,45,1223
2012-08-01,2012,8,102,1241
2012-11-01,2012,11,325,1199
2012-12-01,2012,12,330,1257
2013-01-01,2013,1,162,1237
2013-06-01,2013,6,13,1367
2013-07-01,2013,7,95,1346
2013-08-01,2013,8,41,1318
2014-01-01,2014,1,186,1090
2014-06-01,2014,6,29,1267
2014-07-01,2014,7,98,1277
2014-08-01,2014,8,149,1264
2014-11-01,2014,11,339,1050
2014-12-01,2014,12,495,1050
2015-01-01,2015,1,1025,1056
2015-06-01,2015,6,10,1242
2015-07-01,2015,7,19,1330
2015-08-01,2015,8,30,1366
2015-11-01,2015,11,325,1383
2015-12-01,2015,12,158,1422
2016-01-01,2016,1,53,1415
2016-06-01,2016,6,43,1638
2016-07-01,2016,7,167,1505
2016-08-01,2016,8,395,1512
2016-11-01,2016,11,319,1440
2016-12-01,2016,12,446,1445
2017-01-01,2017,1,303,1502
2017-06-01,2017,6,40,1561
2017-07-01,2017,7,275,1558
2017-11-01,2017,11,1128,1088
2017-12-01,2017,12,752,1103
2018-01-01,2018,1,496,1063
2018-06-01,2018,6,173,1136
2018-07-01,2018,7,179,1163
2018-08-01,2018,8,138,1192
2018-11-01,2018,11,642,1549
2018-12-01,2018,12,294,1672
2019-01-01,2019,1,292,1762
2019-06-01,2019,6,71,2236
2019-07-01,2019,7,245,2220
2019-08-01,2019,8,702,2126
2019-11-01,2019,11,1727,1661
2019-12-01,2019,12,678,1817
