Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,16,507
2002-07-01,2002,7,93,479
2002-08-01,2002,8,60,531
2002-11-01,2002,11,29,487
2002-12-01,2002,12,16,498
2003-01-01,2003,1,50,492
2003-07-01,2003,7,42,544
2003-08-01,2003,8,36,518
2003-11-01,2003,11,50,430
2003-12-01,2003,12,12,422
2004-01-01,2004,1,10,441
2004-07-01,2004,7,5,520
2004-08-01,2004,8,1,530
2004-11-01,2004,11,63,456
2004-12-01,2004,12,18,442
2005-01-01,2005,1,71,415
2005-07-01,2005,7,52,475
2005-08-01,2005,8,15,473
2005-11-01,2005,11,70,472
2006-01-01,2006,1,160,465
2006-06-01,2006,6,17,524
2006-07-01,2006,7,5,534
2006-08-01,2006,8,2,625
2006-11-01,2006,11,14,612
2006-12-01,2006,12,3,614
2007-07-01,2007,7,1,665
2007-11-01,2007,11,4,550
2007-12-01,2007,12,4,553
2008-01-01,2008,1,3,592
2008-06-01,2008,6,5,755
2009-01-01,2009,1,2,746
2009-11-01,2009,11,4,732
2009-12-01,2009,12,1,760
2010-07-01,2010,7,6,920
2010-08-01,2010,8,5,955
2011-06-01,2011,6,60,1070
2011-07-01,2011,7,45,1040
2011-08-01,2011,8,106,1040
2011-11-01,2011,11,489,949
2011-12-01,2011,12,768,960
2012-01-01,2012,1,779,1020
2012-06-01,2012,6,233,1036
2012-07-01,2012,7,328,1187
2012-08-01,2012,8,138,1195
2012-11-01,2012,11,401,1182
2012-12-01,2012,12,504,1265
2013-01-01,2013,1,718,1269
2013-06-01,2013,6,563,1366
2013-07-01,2013,7,240,1410
2013-08-01,2013,8,46,1340
2014-01-01,2014,1,850,1097
2014-06-01,2014,6,152,1228
2014-07-01,2014,7,110,1291
2014-08-01,2014,8,135,1320
2014-12-01,2014,12,575,1001
2015-01-01,2015,1,12675,1054
2015-06-01,2015,6,128,1259
2015-07-01,2015,7,16,1278
2015-08-01,2015,8,25,1340
2015-11-01,2015,11,1240,1364
2015-12-01,2015,12,880,1419
2016-01-01,2016,1,339,1388
2016-06-01,2016,6,195,1638
2016-07-01,2016,7,107,1637
2016-08-01,2016,8,175,1586
2016-11-01,2016,11,1945,1418
2016-12-01,2016,12,340,1429
2017-01-01,2017,1,608,1504
2017-06-01,2017,6,535,1626
2017-07-01,2017,7,345,1600
2017-11-01,2017,11,1418,1099
2017-12-01,2017,12,1070,1108
2018-01-01,2018,1,1440,1080
2018-06-01,2018,6,440,1116
2018-07-01,2018,7,380,1135
2018-08-01,2018,8,330,1206
2018-11-01,2018,11,1110,1474
2018-12-01,2018,12,1580,1616
2019-01-01,2019,1,1200,1728
2019-06-01,2019,6,237,2181
2019-07-01,2019,7,104,2260
2019-08-01,2019,8,706,2288
2019-11-01,2019,11,5317,1646
2019-12-01,2019,12,2346,1796
