Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,42,383
2002-07-01,2002,7,21,432
2002-08-01,2002,8,9,467
2002-11-01,2002,11,434,516
2002-12-01,2002,12,320,538
2003-01-01,2003,1,263,520
2003-06-01,2003,6,30,502
2003-07-01,2003,7,86,508
2003-08-01,2003,8,107,504
2003-11-01,2003,11,102,505
2003-12-01,2003,12,44,508
2004-01-01,2004,1,52,526
2004-07-01,2004,7,41,460
2004-08-01,2004,8,303,516
2004-11-01,2004,11,6,515
2004-12-01,2004,12,106,497
2005-01-01,2005,1,435,496
2006-11-01,2006,11,416,609
2006-12-01,2006,12,270,631
2007-01-01,2007,1,404,587
2007-06-01,2007,6,10,600
2007-07-01,2007,7,55,700
2007-08-01,2007,8,3,650
2007-11-01,2007,11,463,588
2007-12-01,2007,12,509,572
2008-01-01,2008,1,960,583
2008-06-01,2008,6,1097,802
2008-07-01,2008,7,1025,793
2008-08-01,2008,8,750,873
2008-11-01,2008,11,820,747
2008-12-01,2008,12,626,738
2009-01-01,2009,1,322,728
2009-08-01,2009,8,58,845
2009-11-01,2009,11,1269,754
2009-12-01,2009,12,1681,772
2010-01-01,2010,1,2151,773
2010-06-01,2010,6,926,919
2010-08-01,2010,8,32,926
2013-06-01,2013,6,17,1300
2014-11-01,2014,11,10,1000
2015-12-01,2015,12,21,1340
2016-07-01,2016,7,20,950
2016-08-01,2016,8,26,1025
2016-11-01,2016,11,1283,1476
2016-12-01,2016,12,1975,1439
2017-01-01,2017,1,1302,1502
2017-06-01,2017,6,2449,1584
2017-07-01,2017,7,1885,1653
2017-11-01,2017,11,2718,1176
2017-12-01,2017,12,2668,1212
2018-01-01,2018,1,2421,1108
2018-06-01,2018,6,2736,1251
2018-07-01,2018,7,1837,1293
2018-08-01,2018,8,1866,1360
2018-11-01,2018,11,1164,1807
2018-12-01,2018,12,953,1744
2019-01-01,2019,1,1037,1841
2019-06-01,2019,6,1012,2248
2019-07-01,2019,7,620,2293
2019-08-01,2019,8,1099,2335
2019-11-01,2019,11,3559,1942
2019-12-01,2019,12,3474,1993
