Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,1,441
2002-11-01,2002,11,122,480
2002-12-01,2002,12,51,498
2003-01-01,2003,1,34,482
2003-11-01,2003,11,105,447
2003-12-01,2003,12,34,476
2004-01-01,2004,1,38,478
2004-08-01,2004,8,187,503
2004-11-01,2004,11,87,481
2004-12-01,2004,12,22,450
2005-01-01,2005,1,13,462
2005-06-01,2005,6,2,508
2005-07-01,2005,7,1,511
2005-11-01,2005,11,70,505
2005-12-01,2005,12,58,491
2006-01-01,2006,1,73,470
2006-06-01,2006,6,1,222
2006-07-01,2006,7,3,505
2006-08-01,2006,8,2,633
2006-11-01,2006,11,14,630
2006-12-01,2006,12,4,532
2007-01-01,2007,1,8,574
2007-06-01,2007,6,6,721
2007-08-01,2007,8,1,707
2007-11-01,2007,11,17,538
2007-12-01,2007,12,2,548
2008-01-01,2008,1,13,557
2008-11-01,2008,11,55,744
2008-12-01,2008,12,10,716
2009-01-01,2009,1,26,751
2009-11-01,2009,11,21,709
2009-12-01,2009,12,12,750
2010-01-01,2010,1,9,655
2010-06-01,2010,6,3,947
2010-11-01,2010,11,2,784
2010-12-01,2010,12,4,850
2011-01-01,2011,1,13,850
2011-08-01,2011,8,2,1177
2011-11-01,2011,11,4,994
2011-12-01,2011,12,14,1051
2012-01-01,2012,1,12,1038
2012-06-01,2012,6,4,1066
2012-08-01,2012,8,1,1207
2012-11-01,2012,11,97,1148
2012-12-01,2012,12,3,1151
2013-01-01,2013,1,10,1202
2013-06-01,2013,6,5,1260
2014-01-01,2014,1,11,1052
2015-01-01,2015,1,58,1030
2015-11-01,2015,11,12,1239
2015-12-01,2015,12,6,1477
2016-01-01,2016,1,10,1371
2016-11-01,2016,11,23,1409
2016-12-01,2016,12,17,1359
2017-01-01,2017,1,9,1303
2017-06-01,2017,6,9,1451
2017-11-01,2017,11,22,1159
2017-12-01,2017,12,6,1039
2018-01-01,2018,1,17,988
2018-08-01,2018,8,1,1222
2019-11-01,2019,11,30,1603
2019-12-01,2019,12,13,1839
