Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-11-01,2009,11,72,711
2009-12-01,2009,12,106,745
2010-01-01,2010,1,39,780
2010-06-01,2010,6,18,860
2010-07-01,2010,7,2,875
2010-08-01,2010,8,14,900
2011-06-01,2011,6,17,943
2011-07-01,2011,7,25,956
2011-08-01,2011,8,9,930
2011-11-01,2011,11,29,946
2011-12-01,2011,12,14,992
2012-01-01,2012,1,48,987
2012-06-01,2012,6,8,1265
2012-07-01,2012,7,9,1068
2012-08-01,2012,8,7,2144
2012-11-01,2012,11,14,1228
2012-12-01,2012,12,46,1256
2013-01-01,2013,1,15,1241
2013-06-01,2013,6,16,1410
2013-07-01,2013,7,11,1488
2013-08-01,2013,8,4,1355
2014-06-01,2014,6,4,1200
2014-07-01,2014,7,5,1210
2014-08-01,2014,8,10,1212
2014-11-01,2014,11,16,1125
2014-12-01,2014,12,35,1165
2015-01-01,2015,1,406,1160
2015-06-01,2015,6,53,1208
2015-07-01,2015,7,10,1230
2015-08-01,2015,8,29,1338
2015-11-01,2015,11,25,1568
2015-12-01,2015,12,46,1538
2016-01-01,2016,1,7,1550
2016-06-01,2016,6,4,1600
2016-07-01,2016,7,2,1700
2016-08-01,2016,8,16,1394
2016-11-01,2016,11,20,1488
2016-12-01,2016,12,26,1457
2017-01-01,2017,1,35,1500
2018-06-01,2018,6,41,1049
2018-07-01,2018,7,24,1159
2018-08-01,2018,8,96,1164
2018-11-01,2018,11,105,1569
2018-12-01,2018,12,74,1697
2019-01-01,2019,1,30,1753
2019-06-01,2019,6,3,2038
2019-07-01,2019,7,2,2450
2019-08-01,2019,8,7,2167
2019-11-01,2019,11,328,1761
2019-12-01,2019,12,238,1845
