Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-11-01,2009,11,34,701
2009-12-01,2009,12,31,778
2010-01-01,2010,1,23,732
2010-06-01,2010,6,1,710
2010-08-01,2010,8,10,791
2010-11-01,2010,11,14,748
2010-12-01,2010,12,104,813
2011-01-01,2011,1,8,851
2011-11-01,2011,11,118,943
2011-12-01,2011,12,62,991
2012-01-01,2012,1,20,1002
2012-11-01,2012,11,169,1175
2012-12-01,2012,12,81,1259
2013-01-01,2013,1,26,1272
2014-01-01,2014,1,37,1194
2014-11-01,2014,11,162,1030
2014-12-01,2014,12,226,1078
2015-01-01,2015,1,1235,1233
2015-11-01,2015,11,451,1396
2015-12-01,2015,12,277,1404
2016-01-01,2016,1,3,1383
2016-11-01,2016,11,155,1441
2016-12-01,2016,12,77,1443
2017-01-01,2017,1,20,1486
2017-07-01,2017,7,45,1550
2017-11-01,2017,11,301,1082
2017-12-01,2017,12,404,1164
2018-01-01,2018,1,159,1067
2018-06-01,2018,6,10,1082
2018-07-01,2018,7,8,1020
2018-08-01,2018,8,5,1114
2018-11-01,2018,11,277,1608
2018-12-01,2018,12,139,1641
2019-01-01,2019,1,41,1692
2019-11-01,2019,11,346,1642
2019-12-01,2019,12,507,1833
