Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,10,586
2003-07-01,2003,7,11,640
2003-11-01,2003,11,127,399
2004-01-01,2004,1,8,368
2004-11-01,2004,11,39,546
2004-12-01,2004,12,129,555
2005-01-01,2005,1,45,560
2005-07-01,2005,7,109,695
2005-08-01,2005,8,37,605
2005-11-01,2005,11,177,573
2005-12-01,2005,12,119,578
2006-01-01,2006,1,168,580
2006-06-01,2006,6,46,586
2006-08-01,2006,8,5,539
2006-11-01,2006,11,9,655
2006-12-01,2006,12,22,692
2007-01-01,2007,1,14,821
2007-06-01,2007,6,2,690
2007-07-01,2007,7,13,688
2007-08-01,2007,8,13,534
2007-11-01,2007,11,187,682
2007-12-01,2007,12,81,735
2008-01-01,2008,1,29,627
2008-06-01,2008,6,7,776
2008-07-01,2008,7,17,734
2009-01-01,2009,1,10,820
2009-08-01,2009,8,17,600
2009-11-01,2009,11,130,919
2009-12-01,2009,12,18,800
2010-01-01,2010,1,4,900
2010-12-01,2010,12,35,889
2012-01-01,2012,1,96,1217
2012-06-01,2012,6,75,1040
2012-11-01,2012,11,10,1365
2012-12-01,2012,12,110,1292
2013-01-01,2013,1,43,1436
2013-06-01,2013,6,10,1465
2013-07-01,2013,7,299,1496
2013-11-01,2013,11,51,1215
2013-12-01,2013,12,101,1226
2014-01-01,2014,1,25,1250
2014-07-01,2014,7,53,1483
2015-07-01,2015,7,20,1750
2016-06-01,2016,6,78,1500
2016-07-01,2016,7,81,1910
2016-12-01,2016,12,50,1600
2017-01-01,2017,1,39,1448
2017-06-01,2017,6,35,1570
2017-11-01,2017,11,15,1080
2017-12-01,2017,12,2,1100
2018-01-01,2018,1,7,900
2018-07-01,2018,7,30,1155
2018-08-01,2018,8,18,1550
2019-11-01,2019,11,234,1868
2019-12-01,2019,12,289,1758
