Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1880,800
2002-07-01,2002,7,1330,900
2002-08-01,2002,8,1235,900
2002-11-01,2002,11,1500,700
2002-12-01,2002,12,6500,733
2003-01-01,2003,1,5000,750
2003-07-01,2003,7,8000,1050
2003-08-01,2003,8,6900,1100
2003-11-01,2003,11,5000,800
2003-12-01,2003,12,6000,950
2004-01-01,2004,1,3,800
2004-07-01,2004,7,3500,800
2004-08-01,2004,8,5500,950
2004-11-01,2004,11,5200,800
2004-12-01,2004,12,9000,1050
2005-01-01,2005,1,11000,1040
2005-06-01,2005,6,9001,638
