Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-06-01,2003,6,4,636
2003-07-01,2003,7,3,656
2003-08-01,2003,8,3,733
2003-11-01,2003,11,2,718
2004-01-01,2004,1,2,750
2005-06-01,2005,6,1,1000
2005-07-01,2005,7,4,918
2005-08-01,2005,8,2,920
2005-12-01,2005,12,1,1000
2006-06-01,2006,6,4,900
2006-07-01,2006,7,2,1100
2008-01-01,2008,1,1,1200
2008-07-01,2008,7,1,1100
2009-07-01,2009,7,1,1300
2009-12-01,2009,12,1,1200
2010-01-01,2010,1,1,1500
2010-06-01,2010,6,1,1100
2010-07-01,2010,7,1,1030
2010-08-01,2010,8,3,1285
2010-11-01,2010,11,1,1100
2010-12-01,2010,12,2,1000
2011-01-01,2011,1,1,1400
2011-07-01,2011,7,1,1000
2012-08-01,2012,8,9,333
2012-12-01,2012,12,1,1428
2013-01-01,2013,1,2,2000
