Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,8,395
2003-08-01,2003,8,4,250
2003-11-01,2003,11,4,240
2007-06-01,2007,6,29,383
2007-07-01,2007,7,24,310
2007-08-01,2007,8,2,330
2008-11-01,2008,11,2,450
2017-11-01,2017,11,19,1941
2017-12-01,2017,12,12,2005
2018-01-01,2018,1,8,1800
2018-06-01,2018,6,58,1928
2018-07-01,2018,7,21,2000
2018-08-01,2018,8,13,2005
2018-11-01,2018,11,6,2000
2018-12-01,2018,12,1,2000
2019-01-01,2019,1,7,2036
2019-06-01,2019,6,42,2000
2019-07-01,2019,7,19,1970
2019-08-01,2019,8,32,2000
2019-11-01,2019,11,46,1992
2019-12-01,2019,12,30,2058
