Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2010-06-01,2010,6,1,1550
2011-06-01,2011,6,4,419
2011-07-01,2011,7,2,562
2011-08-01,2011,8,1,950
2011-11-01,2011,11,1,450
2012-08-01,2012,8,3,1125
2012-11-01,2012,11,2,725
2012-12-01,2012,12,2,750
2013-06-01,2013,6,2,962
2013-07-01,2013,7,2,1150
2013-08-01,2013,8,1,1100
2014-01-01,2014,1,3,1192
2014-06-01,2014,6,2,1300
2014-07-01,2014,7,4,1375
2015-01-01,2015,1,17,1262
2015-06-01,2015,6,3,1050
2015-07-01,2015,7,3,1083
2015-08-01,2015,8,4,1083
2015-11-01,2015,11,3,850
2015-12-01,2015,12,2,950
2016-01-01,2016,1,2,850
2016-08-01,2016,8,1,1800
2016-12-01,2016,12,1,950
2017-06-01,2017,6,1,950
