Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,24,6375
2002-07-01,2002,7,44,5743
2002-08-01,2002,8,2,6500
2003-06-01,2003,6,4,6500
2003-07-01,2003,7,160,7120
2003-08-01,2003,8,5,5500
2004-01-01,2004,1,15,6730
2004-06-01,2004,6,11,5900
2004-07-01,2004,7,8,3730
2004-08-01,2004,8,2,6000
2004-12-01,2004,12,16,3410
2005-01-01,2005,1,10,3140
2005-11-01,2005,11,12,5000
2005-12-01,2005,12,6,5000
2006-06-01,2006,6,1,5700
2006-07-01,2006,7,7,5750
2007-06-01,2007,6,5,4600
2008-08-01,2008,8,16,7000
2009-01-01,2009,1,1,9000
2009-06-01,2009,6,23,8320
2009-07-01,2009,7,29,8425
2009-08-01,2009,8,6,8500
2009-11-01,2009,11,70,9357
2009-12-01,2009,12,262,9250
2010-01-01,2010,1,58,9333
2010-06-01,2010,6,42,10000
2010-07-01,2010,7,20,12550
2010-08-01,2010,8,14,7100
2010-12-01,2010,12,29,12500
2011-06-01,2011,6,114,13508
2011-07-01,2011,7,35,17250
2011-08-01,2011,8,42,22667
2011-12-01,2011,12,5,16000
2012-06-01,2012,6,20,22733
2012-07-01,2012,7,8,20000
2012-08-01,2012,8,11,22250
2012-11-01,2012,11,6,25000
2012-12-01,2012,12,6,20000
2013-01-01,2013,1,20,30000
2013-06-01,2013,6,9,19700
2013-07-01,2013,7,6,22650
2013-08-01,2013,8,8,20500
2014-01-01,2014,1,5,20000
2014-08-01,2014,8,11,53368
2015-06-01,2015,6,20,36058
2015-07-01,2015,7,7,38122
2015-08-01,2015,8,13,38000
2015-12-01,2015,12,1,41000
2016-01-01,2016,1,7,40875
2016-06-01,2016,6,3,43829
2016-07-01,2016,7,6,45000
2016-11-01,2016,11,1,69600
2016-12-01,2016,12,1,70600
2017-01-01,2017,1,1,45000
2017-07-01,2017,7,6,41083
2017-08-01,2017,8,39,46475
2017-11-01,2017,11,68,34962
2017-12-01,2017,12,32,34675
