Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-06-01,2011,6,18,22500
2011-07-01,2011,7,23,22875
2011-08-01,2011,8,36,24814
2011-11-01,2011,11,2,29000
2011-12-01,2011,12,4,28400
2012-01-01,2012,1,2,28000
2012-07-01,2012,7,1,32300
2014-11-01,2014,11,23,48071
2014-12-01,2014,12,12,50333
2015-01-01,2015,1,91,52211
2015-06-01,2015,6,64,45317
2015-07-01,2015,7,85,45909
2015-08-01,2015,8,87,46236
2015-11-01,2015,11,68,48375
2015-12-01,2015,12,86,48000
2016-01-01,2016,1,48,45000
2016-06-01,2016,6,43,43640
2016-07-01,2016,7,23,44696
2016-08-01,2016,8,32,45000
2016-11-01,2016,11,26,45087
2016-12-01,2016,12,25,45260
2017-01-01,2017,1,31,43850
2017-06-01,2017,6,24,38125
2017-07-01,2017,7,21,39333
2017-08-01,2017,8,24,40000
2017-11-01,2017,11,22,35136
2017-12-01,2017,12,23,37217
2018-01-01,2018,1,23,39196
2018-06-01,2018,6,27,31386
2018-07-01,2018,7,23,28478
2018-08-01,2018,8,22,31682
2018-11-01,2018,11,26,30000
2018-12-01,2018,12,28,30000
2019-01-01,2019,1,23,30000
2019-06-01,2019,6,18,29000
2019-07-01,2019,7,14,29000
2019-08-01,2019,8,23,28957
2019-11-01,2019,11,44,26368
2019-12-01,2019,12,56,27000
