Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,17,7212
2002-07-01,2002,7,3,7222
2002-11-01,2002,11,2,9239
2002-12-01,2002,12,3,8794
2003-01-01,2003,1,1,9109
2003-06-01,2003,6,2,7259
2003-08-01,2003,8,1,7089
2003-11-01,2003,11,3,6990
2003-12-01,2003,12,4,6706
2004-01-01,2004,1,19,7399
2004-06-01,2004,6,4,6817
2004-07-01,2004,7,1,7069
2004-08-01,2004,8,3,6624
2004-11-01,2004,11,3,6266
2004-12-01,2004,12,3,6514
2005-01-01,2005,1,7,6696
2005-06-01,2005,6,27,5547
2005-07-01,2005,7,6,5296
2005-08-01,2005,8,2,6034
2005-11-01,2005,11,3,6703
2005-12-01,2005,12,3,7140
2006-01-01,2006,1,5,6356
2006-06-01,2006,6,16,7368
2006-07-01,2006,7,4,8500
2006-08-01,2006,8,11,8855
2006-11-01,2006,11,6,9631
2006-12-01,2006,12,3,9984
2007-01-01,2007,1,2,10212
2007-06-01,2007,6,18,12505
2007-07-01,2007,7,8,13142
2007-08-01,2007,8,10,12432
2007-11-01,2007,11,6,13097
2007-12-01,2007,12,1,12649
2008-01-01,2008,1,2,13864
2008-06-01,2008,6,4,14007
2008-07-01,2008,7,1,13686
2008-08-01,2008,8,2,13450
2009-06-01,2009,6,9,11809
2009-07-01,2009,7,3,12077
2009-08-01,2009,8,2,14200
2009-11-01,2009,11,8,14037
2009-12-01,2009,12,1,14299
2010-06-01,2010,6,13,15580
2010-07-01,2010,7,66,19100
2010-08-01,2010,8,5,18054
2010-11-01,2010,11,1,18094
2010-12-01,2010,12,1,19599
2011-01-01,2011,1,1,19187
2011-06-01,2011,6,3,23655
2011-07-01,2011,7,4,25294
2011-08-01,2011,8,9,26594
2011-11-01,2011,11,4,29580
2011-12-01,2011,12,3,30197
2012-06-01,2012,6,2,35258
2012-07-01,2012,7,7,39545
2012-08-01,2012,8,3,39082
2012-12-01,2012,12,2,36895
2013-01-01,2013,1,2,38036
2013-06-01,2013,6,3,30480
2013-07-01,2013,7,3,37574
2014-06-01,2014,6,1,61211
2014-07-01,2014,7,4,66829
2014-11-01,2014,11,9,64660
2014-12-01,2014,12,2,62450
2015-01-01,2015,1,37,58949
2015-06-01,2015,6,21,54759
2015-07-01,2015,7,18,57441
2015-08-01,2015,8,10,57080
2015-11-01,2015,11,28,67464
2015-12-01,2015,12,10,63323
2016-01-01,2016,1,1,62100
2016-06-01,2016,6,11,62116
2016-07-01,2016,7,3,62668
2016-08-01,2016,8,9,63397
2016-11-01,2016,11,7,59871
2016-12-01,2016,12,7,62334
2017-01-01,2017,1,15,63055
2017-06-01,2017,6,4,42520
2017-07-01,2017,7,1,39970
2017-08-01,2017,8,3,41421
2017-11-01,2017,11,10,38775
2017-12-01,2017,12,4,47866
2018-01-01,2018,1,14,44366
2018-06-01,2018,6,40,31012
2018-07-01,2018,7,28,29501
2018-08-01,2018,8,17,35492
2018-11-01,2018,11,37,34563
2018-12-01,2018,12,18,34245
2019-01-01,2019,1,22,32537
2019-06-01,2019,6,40,31608
2019-07-01,2019,7,17,30625
2019-08-01,2019,8,31,31702
2019-11-01,2019,11,18,30959
2019-12-01,2019,12,7,31846
