Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-11-01,2009,11,14,12000
2009-12-01,2009,12,17,11740
2010-01-01,2010,1,8,11500
2010-06-01,2010,6,7,13250
2010-07-01,2010,7,7,14000
2010-08-01,2010,8,2,16000
2010-11-01,2010,11,1,16000
2010-12-01,2010,12,1,19000
2011-01-01,2011,1,1,17000
2011-06-01,2011,6,4,12167
2011-07-01,2011,7,4,9900
2011-08-01,2011,8,1,12500
2011-12-01,2011,12,6,18700
2012-01-01,2012,1,10,17100
2012-06-01,2012,6,1,20000
2015-01-01,2015,1,33,30275
2015-12-01,2015,12,1,20000
2016-11-01,2016,11,3,43400
2017-07-01,2017,7,2,37000
2017-08-01,2017,8,6,41400
2018-01-01,2018,1,1,44400
2018-06-01,2018,6,2,30000
2018-07-01,2018,7,1,25000
2018-11-01,2018,11,1,31500
2018-12-01,2018,12,6,30825
2019-01-01,2019,1,17,29411
2019-06-01,2019,6,2,27750
2019-07-01,2019,7,2,30000
2019-08-01,2019,8,3,29000
2019-11-01,2019,11,9,26875
2019-12-01,2019,12,8,29429
