Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2006-07-01,2006,7,1,6769
2008-06-01,2008,6,1,12669
2009-12-01,2009,12,3000,600
2010-07-01,2010,7,120,650
2010-08-01,2010,8,2900,600
2015-01-01,2015,1,3,62725
2016-06-01,2016,6,1,61699
2017-11-01,2017,11,1,41341
2018-01-01,2018,1,14,41378
2018-07-01,2018,7,2,28955
2018-08-01,2018,8,2,35099
2018-11-01,2018,11,3,33903
2019-01-01,2019,1,2,32087
2019-06-01,2019,6,10,30520
2019-08-01,2019,8,3,31356
2019-11-01,2019,11,4,29663
2019-12-01,2019,12,2,31649
