Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,9,1450
2002-11-01,2002,11,24,1750
2003-01-01,2003,1,63,1992
2003-11-01,2003,11,14,2500
2004-11-01,2004,11,224,1820
2004-12-01,2004,12,454,1810
2005-01-01,2005,1,148,1825
2005-11-01,2005,11,195,2094
2005-12-01,2005,12,129,2383
2006-01-01,2006,1,34,1770
2006-11-01,2006,11,67,2325
2006-12-01,2006,12,85,2133
2007-01-01,2007,1,81,2300
2008-01-01,2008,1,66,2300
2008-11-01,2008,11,26,2033
2008-12-01,2008,12,75,2261
2009-01-01,2009,1,27,2200
2009-11-01,2009,11,18,2195
2009-12-01,2009,12,55,2275
2011-11-01,2011,11,258,3480
2011-12-01,2011,12,105,3150
2012-01-01,2012,1,63,3000
2012-11-01,2012,11,230,3280
2012-12-01,2012,12,64,3100
2013-01-01,2013,1,107,3175
2013-08-01,2013,8,8,3500
2014-01-01,2014,1,43,3850
2014-06-01,2014,6,8,4105
2014-11-01,2014,11,314,3436
2014-12-01,2014,12,1354,3404
2015-01-01,2015,1,1171,3000
2015-06-01,2015,6,4,4450
2015-11-01,2015,11,185,3375
2015-12-01,2015,12,201,3117
2016-01-01,2016,1,9,3300
2016-11-01,2016,11,137,4625
2016-12-01,2016,12,123,4750
2017-11-01,2017,11,246,5285
2017-12-01,2017,12,41,4900
2018-01-01,2018,1,90,6000
2018-11-01,2018,11,342,6380
2018-12-01,2018,12,1097,5967
2019-01-01,2019,1,146,6333
2019-12-01,2019,12,55,6206
