Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,717,1361
2002-07-01,2002,7,2820,1555
2002-08-01,2002,8,5434,1749
2002-11-01,2002,11,275,2169
2002-12-01,2002,12,451,1930
2003-01-01,2003,1,607,1907
2003-06-01,2003,6,531,2168
2003-07-01,2003,7,1269,2412
2003-08-01,2003,8,1551,2567
2003-11-01,2003,11,110,2372
2003-12-01,2003,12,305,2356
2004-01-01,2004,1,789,2577
2004-06-01,2004,6,178,2044
2004-07-01,2004,7,813,2356
2004-08-01,2004,8,1877,2136
2004-11-01,2004,11,320,1761
2004-12-01,2004,12,1412,1664
2005-01-01,2005,1,2191,1636
2005-06-01,2005,6,287,1486
2005-07-01,2005,7,456,1601
2005-08-01,2005,8,1392,1617
2005-11-01,2005,11,11,1739
2005-12-01,2005,12,103,2044
2006-01-01,2006,1,879,1869
2006-06-01,2006,6,235,1795
2006-07-01,2006,7,260,1894
2006-08-01,2006,8,247,2106
2006-11-01,2006,11,143,1981
2006-12-01,2006,12,157,2088
2007-01-01,2007,1,303,2030
2007-06-01,2007,6,93,2283
2007-07-01,2007,7,541,2305
2007-08-01,2007,8,399,2387
2007-11-01,2007,11,725,2165
2007-12-01,2007,12,1381,2161
2008-01-01,2008,1,2088,2366
2008-06-01,2008,6,565,2916
2008-07-01,2008,7,655,3208
2008-08-01,2008,8,939,2898
2008-11-01,2008,11,315,2565
2008-12-01,2008,12,755,2575
2009-01-01,2009,1,1698,2613
2009-06-01,2009,6,1307,2800
2009-07-01,2009,7,322,2850
2009-11-01,2009,11,776,2848
2009-12-01,2009,12,1372,3055
2010-01-01,2010,1,1144,3279
2010-06-01,2010,6,1943,3562
2010-07-01,2010,7,1063,3648
2010-08-01,2010,8,1184,3453
2010-11-01,2010,11,147,3940
2010-12-01,2010,12,4693,4038
2011-01-01,2011,1,1700,4838
2011-06-01,2011,6,3072,3123
2011-07-01,2011,7,1364,3290
2011-08-01,2011,8,1490,3707
2011-11-01,2011,11,2816,3931
2011-12-01,2011,12,5096,3854
2012-01-01,2012,1,9530,4099
2012-06-01,2012,6,1908,4019
2012-07-01,2012,7,925,4693
2012-08-01,2012,8,693,4463
2012-11-01,2012,11,3151,4068
2012-12-01,2012,12,9775,3971
2013-01-01,2013,1,7844,4020
2013-06-01,2013,6,1759,5004
2013-07-01,2013,7,449,5285
2013-08-01,2013,8,127,5276
2013-12-01,2013,12,1300,4522
2014-01-01,2014,1,6591,5131
2014-06-01,2014,6,1554,5167
2014-07-01,2014,7,980,5199
2014-08-01,2014,8,429,4698
2014-11-01,2014,11,776,3983
2015-01-01,2015,1,53098,3868
2015-06-01,2015,6,2348,4448
2015-07-01,2015,7,718,4443
2015-08-01,2015,8,188,4340
2015-11-01,2015,11,376,4202
2015-12-01,2015,12,1295,4496
2016-01-01,2016,1,1705,4778
2016-06-01,2016,6,964,5843
2016-07-01,2016,7,364,6423
2016-08-01,2016,8,103,5737
2016-11-01,2016,11,2441,5246
2016-12-01,2016,12,4008,5225
2017-01-01,2017,1,3806,5732
2017-06-01,2017,6,3400,5371
2017-07-01,2017,7,2044,5470
2017-08-01,2017,8,505,5400
2017-11-01,2017,11,9180,4512
2017-12-01,2017,12,5865,5119
2018-01-01,2018,1,6532,5131
2018-06-01,2018,6,3288,5410
2018-07-01,2018,7,975,6119
2018-08-01,2018,8,252,5666
2018-11-01,2018,11,6534,5790
2018-12-01,2018,12,7188,5753
2019-01-01,2019,1,5912,5593
2019-06-01,2019,6,903,6371
2019-07-01,2019,7,395,6392
2019-08-01,2019,8,205,6198
2019-11-01,2019,11,11236,5005
2019-12-01,2019,12,13316,5115
