Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,8,1688
2002-11-01,2002,11,161,1634
2002-12-01,2002,12,43,1661
2003-07-01,2003,7,22,1937
2003-08-01,2003,8,109,1983
2003-11-01,2003,11,179,1719
2003-12-01,2003,12,13,1600
2004-07-01,2004,7,61,1835
2004-08-01,2004,8,45,1817
2004-11-01,2004,11,132,1690
2005-08-01,2005,8,17,1900
2005-11-01,2005,11,26,1675
2006-08-01,2006,8,16,1800
2006-11-01,2006,11,150,1690
2006-12-01,2006,12,57,1500
2007-01-01,2007,1,29,1297
2007-11-01,2007,11,105,1811
2007-12-01,2007,12,48,1625
2008-01-01,2008,1,9,1850
2008-08-01,2008,8,37,2349
2008-11-01,2008,11,60,1946
2009-01-01,2009,1,9,1900
2009-11-01,2009,11,65,2012
2009-12-01,2009,12,23,2110
2010-01-01,2010,1,9,2150
2011-08-01,2011,8,8,2900
2011-11-01,2011,11,100,3327
2011-12-01,2011,12,35,2940
2012-01-01,2012,1,19,2950
2012-08-01,2012,8,25,3983
2012-11-01,2012,11,13,3600
2012-12-01,2012,12,11,3600
2013-07-01,2013,7,8,3025
2013-08-01,2013,8,10,5025
2014-01-01,2014,1,7,3911
2014-08-01,2014,8,87,3843
2014-11-01,2014,11,53,3804
2014-12-01,2014,12,36,4416
2015-07-01,2015,7,8,3800
2015-08-01,2015,8,77,3996
2016-06-01,2016,6,6,4000
