Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-01-01,2003,1,7,2400
2004-12-01,2004,12,50,1777
2005-01-01,2005,1,32,1797
2005-11-01,2005,11,19,2069
2006-12-01,2006,12,2,1500
2007-11-01,2007,11,27,2142
2007-12-01,2007,12,25,1794
2008-01-01,2008,1,95,2155
2009-11-01,2009,11,7,2400
2010-11-01,2010,11,77,3139
2011-11-01,2011,11,38,3276
2011-12-01,2011,12,100,3256
2012-01-01,2012,1,111,2829
2012-07-01,2012,7,88,2853
2012-08-01,2012,8,9,2540
2012-11-01,2012,11,90,3153
2013-01-01,2013,1,18,3220
