Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,234,1638
2002-07-01,2002,7,143,1812
2002-08-01,2002,8,330,2343
2002-11-01,2002,11,932,2507
2002-12-01,2002,12,604,2610
2003-01-01,2003,1,303,2512
2003-06-01,2003,6,11,2192
2003-07-01,2003,7,10,2425
2003-08-01,2003,8,66,2587
2003-11-01,2003,11,143,2782
2003-12-01,2003,12,42,2713
2004-01-01,2004,1,77,2633
2004-06-01,2004,6,9,2135
2004-07-01,2004,7,8,2270
2004-08-01,2004,8,167,2558
2004-11-01,2004,11,3262,2569
2004-12-01,2004,12,803,2503
2007-11-01,2007,11,1121,2236
2007-12-01,2007,12,963,2439
2008-01-01,2008,1,1173,2550
2008-06-01,2008,6,54,2555
2008-07-01,2008,7,69,2827
2008-08-01,2008,8,540,3112
2008-11-01,2008,11,3631,2660
2008-12-01,2008,12,1260,2608
2009-01-01,2009,1,930,2533
2009-06-01,2009,6,53,2767
2009-07-01,2009,7,378,2903
2009-08-01,2009,8,563,3094
2009-11-01,2009,11,3930,3225
2009-12-01,2009,12,1974,3495
2010-01-01,2010,1,1091,3525
2010-06-01,2010,6,242,3387
2010-07-01,2010,7,871,3671
2010-08-01,2010,8,1892,3690
2010-11-01,2010,11,630,4300
2010-12-01,2010,12,1640,4226
2011-01-01,2011,1,2264,4890
2011-06-01,2011,6,317,3817
2011-07-01,2011,7,561,3967
2011-08-01,2011,8,1963,4468
2011-11-01,2011,11,3251,4228
2011-12-01,2011,12,2471,4132
2012-01-01,2012,1,3269,4403
2012-06-01,2012,6,391,4331
2012-07-01,2012,7,428,5004
2012-08-01,2012,8,1806,5155
2012-11-01,2012,11,2875,4351
2012-12-01,2012,12,2171,4369
2013-01-01,2013,1,2500,4385
2013-06-01,2013,6,160,4673
2013-07-01,2013,7,280,4954
2013-08-01,2013,8,424,5384
2014-01-01,2014,1,3001,6233
2014-06-01,2014,6,49,4892
2014-07-01,2014,7,496,5448
2014-08-01,2014,8,1897,5493
2014-11-01,2014,11,9248,4179
2014-12-01,2014,12,7130,4200
2015-01-01,2015,1,41248,3944
2015-06-01,2015,6,901,4393
2015-07-01,2015,7,681,4399
2015-08-01,2015,8,1723,4616
2015-11-01,2015,11,3255,4656
2015-12-01,2015,12,3479,4881
2016-01-01,2016,1,1437,4839
2016-06-01,2016,6,358,5300
2016-07-01,2016,7,51,5785
2016-08-01,2016,8,642,5412
2016-11-01,2016,11,1995,5634
2016-12-01,2016,12,1385,5637
2017-01-01,2017,1,1291,5626
2017-06-01,2017,6,40,5433
2017-07-01,2017,7,5,4741
2017-08-01,2017,8,67,5386
2017-11-01,2017,11,1710,4595
2017-12-01,2017,12,1168,5183
2018-01-01,2018,1,855,4892
2018-06-01,2018,6,259,4305
2018-07-01,2018,7,92,4971
2018-08-01,2018,8,338,5818
2018-11-01,2018,11,2869,6000
2018-12-01,2018,12,1282,5748
2019-01-01,2019,1,1445,5246
2019-06-01,2019,6,53,5301
2019-07-01,2019,7,7,4883
2019-08-01,2019,8,66,5517
2019-11-01,2019,11,3648,5654
2019-12-01,2019,12,1807,5398
