Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,389,1398
2002-07-01,2002,7,766,1835
2002-08-01,2002,8,999,2138
2002-11-01,2002,11,501,1923
2002-12-01,2002,12,712,2064
2003-01-01,2003,1,192,1858
2003-06-01,2003,6,67,2441
2003-07-01,2003,7,606,2627
2003-08-01,2003,8,1156,2575
2003-11-01,2003,11,251,2548
2003-12-01,2003,12,207,2572
2004-01-01,2004,1,138,2438
2004-06-01,2004,6,471,2391
2004-07-01,2004,7,829,2616
2004-08-01,2004,8,582,2453
2004-11-01,2004,11,331,1882
2004-12-01,2004,12,796,1839
2005-01-01,2005,1,385,1838
2005-06-01,2005,6,160,1714
2005-07-01,2005,7,6,1648
2005-08-01,2005,8,682,2982
2005-11-01,2005,11,40,2060
2005-12-01,2005,12,83,2153
2006-01-01,2006,1,8,1990
2006-07-01,2006,7,7,1794
2006-08-01,2006,8,7,2304
2006-11-01,2006,11,62,2027
2006-12-01,2006,12,38,1992
2007-01-01,2007,1,1,1961
2007-11-01,2007,11,85,2182
2007-12-01,2007,12,63,2297
2008-01-01,2008,1,3,2550
2008-07-01,2008,7,1,3401
2008-08-01,2008,8,26,3136
2008-11-01,2008,11,60,2672
2008-12-01,2008,12,23,2694
2009-07-01,2009,7,9,2724
2009-08-01,2009,8,4,2531
2009-11-01,2009,11,77,2928
2009-12-01,2009,12,35,3100
2010-01-01,2010,1,80,3180
2010-08-01,2010,8,42,3379
2010-11-01,2010,11,12,4129
2010-12-01,2010,12,39,3987
2011-07-01,2011,7,139,3234
2011-08-01,2011,8,455,3743
2011-11-01,2011,11,619,4134
2011-12-01,2011,12,576,3965
2012-01-01,2012,1,624,4128
2012-06-01,2012,6,285,3902
2012-07-01,2012,7,44,3381
2012-08-01,2012,8,108,4946
2012-11-01,2012,11,95,4106
2012-12-01,2012,12,439,4065
2014-06-01,2014,6,441,4732
2014-07-01,2014,7,44,4815
2015-01-01,2015,1,743,4830
2015-06-01,2015,6,81,4250
2015-07-01,2015,7,166,4150
2015-12-01,2015,12,159,4225
2016-01-01,2016,1,60,4058
2016-07-01,2016,7,16,15700
2016-11-01,2016,11,237,4938
2017-01-01,2017,1,209,5212
2017-06-01,2017,6,352,5520
2017-07-01,2017,7,53,5393
2017-08-01,2017,8,143,4822
2017-11-01,2017,11,220,4620
2017-12-01,2017,12,308,5085
2018-01-01,2018,1,187,5658
2018-07-01,2018,7,124,5076
2018-08-01,2018,8,277,5744
2018-11-01,2018,11,207,5757
2018-12-01,2018,12,215,5511
2019-01-01,2019,1,133,5684
2019-07-01,2019,7,50,6700
2019-11-01,2019,11,446,5081
2019-12-01,2019,12,383,4879
